split,experiment_family,feature_config,model_name,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
test,all_encounters_group_split,all_enc_fe_indicator,AllEncCat_d6_lr0015_l210_custom025,best_f1,0.01,149,74,0.4966442953020134,0.04525993883792049,0.1102643647154033,4.5041233093200335
test,all_encounters_group_split,all_enc_fe_indicator,AllEncCat_d6_lr0015_l210_custom025,best_f1,0.05,742,237,0.3194070080862534,0.14495412844036698,0.1102643647154033,2.896738297188358
test,all_encounters_group_split,all_enc_fe_indicator,AllEncCat_d6_lr0015_l210_custom025,best_f1,0.1,1483,400,0.26972353337828725,0.24464831804281345,0.1102643647154033,2.446153243384247
test,all_encounters_group_split,all_enc_fe_indicator,AllEncCat_d6_lr0015_l210_custom025,best_f1,0.2,2966,648,0.21847606203641268,0.3963302752293578,0.1102643647154033,1.9813841271412398
test,all_encounters_group_split,all_enc_fe_indicator,AllEncCat_d6_lr0015_l210_custom025,max_recall_precision_ge_0.20,0.01,149,74,0.4966442953020134,0.04525993883792049,0.1102643647154033,4.5041233093200335
test,all_encounters_group_split,all_enc_fe_indicator,AllEncCat_d6_lr0015_l210_custom025,max_recall_precision_ge_0.20,0.05,742,237,0.3194070080862534,0.14495412844036698,0.1102643647154033,2.896738297188358
test,all_encounters_group_split,all_enc_fe_indicator,AllEncCat_d6_lr0015_l210_custom025,max_recall_precision_ge_0.20,0.1,1483,400,0.26972353337828725,0.24464831804281345,0.1102643647154033,2.446153243384247
test,all_encounters_group_split,all_enc_fe_indicator,AllEncCat_d6_lr0015_l210_custom025,max_recall_precision_ge_0.20,0.2,2966,648,0.21847606203641268,0.3963302752293578,0.1102643647154033,1.9813841271412398
test,all_encounters_group_split,all_enc_fe_indicator,AllEncCat_d6_lr0015_l210_custom025,best_f2,0.01,149,74,0.4966442953020134,0.04525993883792049,0.1102643647154033,4.5041233093200335
test,all_encounters_group_split,all_enc_fe_indicator,AllEncCat_d6_lr0015_l210_custom025,best_f2,0.05,742,237,0.3194070080862534,0.14495412844036698,0.1102643647154033,2.896738297188358
test,all_encounters_group_split,all_enc_fe_indicator,AllEncCat_d6_lr0015_l210_custom025,best_f2,0.1,1483,400,0.26972353337828725,0.24464831804281345,0.1102643647154033,2.446153243384247
test,all_encounters_group_split,all_enc_fe_indicator,AllEncCat_d6_lr0015_l210_custom025,best_f2,0.2,2966,648,0.21847606203641268,0.3963302752293578,0.1102643647154033,1.9813841271412398
test,all_encounters_group_split,all_enc_fe_indicator,AllEncCat_d6_lr0015_l210_custom025,max_recall_precision_ge_0.15,0.01,149,74,0.4966442953020134,0.04525993883792049,0.1102643647154033,4.5041233093200335
test,all_encounters_group_split,all_enc_fe_indicator,AllEncCat_d6_lr0015_l210_custom025,max_recall_precision_ge_0.15,0.05,742,237,0.3194070080862534,0.14495412844036698,0.1102643647154033,2.896738297188358
test,all_encounters_group_split,all_enc_fe_indicator,AllEncCat_d6_lr0015_l210_custom025,max_recall_precision_ge_0.15,0.1,1483,400,0.26972353337828725,0.24464831804281345,0.1102643647154033,2.446153243384247
test,all_encounters_group_split,all_enc_fe_indicator,AllEncCat_d6_lr0015_l210_custom025,max_recall_precision_ge_0.15,0.2,2966,648,0.21847606203641268,0.3963302752293578,0.1102643647154033,1.9813841271412398
test,all_encounters_group_split,all_enc_fe_indicator,AllEncCat_d6_lr0015_l210_custom025,max_recall_precision_ge_0.12,0.01,149,74,0.4966442953020134,0.04525993883792049,0.1102643647154033,4.5041233093200335
test,all_encounters_group_split,all_enc_fe_indicator,AllEncCat_d6_lr0015_l210_custom025,max_recall_precision_ge_0.12,0.05,742,237,0.3194070080862534,0.14495412844036698,0.1102643647154033,2.896738297188358
test,all_encounters_group_split,all_enc_fe_indicator,AllEncCat_d6_lr0015_l210_custom025,max_recall_precision_ge_0.12,0.1,1483,400,0.26972353337828725,0.24464831804281345,0.1102643647154033,2.446153243384247
test,all_encounters_group_split,all_enc_fe_indicator,AllEncCat_d6_lr0015_l210_custom025,max_recall_precision_ge_0.12,0.2,2966,648,0.21847606203641268,0.3963302752293578,0.1102643647154033,1.9813841271412398
test,all_encounters_group_split,all_enc_fe_indicator,AllEncCat_d6_lr0015_l210_custom025,default_0.5,0.01,149,74,0.4966442953020134,0.04525993883792049,0.1102643647154033,4.5041233093200335
test,all_encounters_group_split,all_enc_fe_indicator,AllEncCat_d6_lr0015_l210_custom025,default_0.5,0.05,742,237,0.3194070080862534,0.14495412844036698,0.1102643647154033,2.896738297188358
test,all_encounters_group_split,all_enc_fe_indicator,AllEncCat_d6_lr0015_l210_custom025,default_0.5,0.1,1483,400,0.26972353337828725,0.24464831804281345,0.1102643647154033,2.446153243384247
test,all_encounters_group_split,all_enc_fe_indicator,AllEncCat_d6_lr0015_l210_custom025,default_0.5,0.2,2966,648,0.21847606203641268,0.3963302752293578,0.1102643647154033,1.9813841271412398
test,all_encounters_group_split,all_enc_fe_summary,AllEncCat_d6_lr0015_l210_sqrt,best_f1,0.01,149,70,0.4697986577181208,0.04281345565749235,0.1102643647154033,4.260657184491923
test,all_encounters_group_split,all_enc_fe_summary,AllEncCat_d6_lr0015_l210_sqrt,best_f1,0.05,742,238,0.32075471698113206,0.145565749235474,0.1102643647154033,2.908960821649068
test,all_encounters_group_split,all_enc_fe_summary,AllEncCat_d6_lr0015_l210_sqrt,best_f1,0.1,1483,391,0.26365475387727577,0.23914373088685015,0.1102643647154033,2.3911147954081007
test,all_encounters_group_split,all_enc_fe_summary,AllEncCat_d6_lr0015_l210_sqrt,best_f1,0.2,2966,645,0.2174645987862441,0.3944954128440367,0.1102643647154033,1.972211052478549
test,all_encounters_group_split,all_enc_fe_summary,AllEncCat_d6_lr0015_l210_sqrt,max_recall_precision_ge_0.20,0.01,149,70,0.4697986577181208,0.04281345565749235,0.1102643647154033,4.260657184491923
test,all_encounters_group_split,all_enc_fe_summary,AllEncCat_d6_lr0015_l210_sqrt,max_recall_precision_ge_0.20,0.05,742,238,0.32075471698113206,0.145565749235474,0.1102643647154033,2.908960821649068
test,all_encounters_group_split,all_enc_fe_summary,AllEncCat_d6_lr0015_l210_sqrt,max_recall_precision_ge_0.20,0.1,1483,391,0.26365475387727577,0.23914373088685015,0.1102643647154033,2.3911147954081007
test,all_encounters_group_split,all_enc_fe_summary,AllEncCat_d6_lr0015_l210_sqrt,max_recall_precision_ge_0.20,0.2,2966,645,0.2174645987862441,0.3944954128440367,0.1102643647154033,1.972211052478549
test,all_encounters_group_split,all_enc_fe_summary,AllEncCat_d6_lr0015_l210_sqrt,best_f2,0.01,149,70,0.4697986577181208,0.04281345565749235,0.1102643647154033,4.260657184491923
test,all_encounters_group_split,all_enc_fe_summary,AllEncCat_d6_lr0015_l210_sqrt,best_f2,0.05,742,238,0.32075471698113206,0.145565749235474,0.1102643647154033,2.908960821649068
test,all_encounters_group_split,all_enc_fe_summary,AllEncCat_d6_lr0015_l210_sqrt,best_f2,0.1,1483,391,0.26365475387727577,0.23914373088685015,0.1102643647154033,2.3911147954081007
test,all_encounters_group_split,all_enc_fe_summary,AllEncCat_d6_lr0015_l210_sqrt,best_f2,0.2,2966,645,0.2174645987862441,0.3944954128440367,0.1102643647154033,1.972211052478549
test,all_encounters_group_split,all_enc_fe_summary,AllEncCat_d6_lr0015_l210_sqrt,max_recall_precision_ge_0.15,0.01,149,70,0.4697986577181208,0.04281345565749235,0.1102643647154033,4.260657184491923
test,all_encounters_group_split,all_enc_fe_summary,AllEncCat_d6_lr0015_l210_sqrt,max_recall_precision_ge_0.15,0.05,742,238,0.32075471698113206,0.145565749235474,0.1102643647154033,2.908960821649068
test,all_encounters_group_split,all_enc_fe_summary,AllEncCat_d6_lr0015_l210_sqrt,max_recall_precision_ge_0.15,0.1,1483,391,0.26365475387727577,0.23914373088685015,0.1102643647154033,2.3911147954081007
test,all_encounters_group_split,all_enc_fe_summary,AllEncCat_d6_lr0015_l210_sqrt,max_recall_precision_ge_0.15,0.2,2966,645,0.2174645987862441,0.3944954128440367,0.1102643647154033,1.972211052478549
test,all_encounters_group_split,all_enc_fe_indicator,AllEncCat_d6_lr0015_l210_sqrt,best_f1,0.01,149,69,0.46308724832214765,0.04220183486238532,0.1102643647154033,4.199790653284896
test,all_encounters_group_split,all_enc_fe_indicator,AllEncCat_d6_lr0015_l210_sqrt,best_f1,0.05,742,232,0.31266846361185985,0.1418960244648318,0.1102643647154033,2.835625674884806
test,all_encounters_group_split,all_enc_fe_indicator,AllEncCat_d6_lr0015_l210_sqrt,best_f1,0.1,1483,397,0.2677006068779501,0.24281345565749235,0.1102643647154033,2.4278070940588647
test,all_encounters_group_split,all_enc_fe_indicator,AllEncCat_d6_lr0015_l210_sqrt,best_f1,0.2,2966,642,0.21645313553607554,0.3926605504587156,0.1102643647154033,1.963037977815858
test,all_encounters_group_split,all_enc_fe_summary,AllEncCat_d6_lr0015_l210_custom025,best_f1,0.01,149,70,0.4697986577181208,0.04281345565749235,0.1102643647154033,4.260657184491923
