split,experiment_family,feature_config,model_name,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_3_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_custom025_rs1,best_f1,0.01,105,48,0.45714285714285713,0.050955414012738856,0.0897484756097561,5.093600242644828
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_3_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_custom025_rs1,best_f1,0.05,525,150,0.2857142857142857,0.1592356687898089,0.0897484756097561,3.1835001516530177
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_3_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_custom025_rs1,best_f1,0.1,1050,237,0.2257142857142857,0.2515923566878981,0.0897484756097561,2.514965119805884
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_3_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_custom025_rs1,best_f1,0.2,2100,360,0.17142857142857143,0.3821656050955414,0.0897484756097561,1.9101000909918107
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_3_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_custom025_rs1,max_recall_precision_ge_0.20,0.01,105,48,0.45714285714285713,0.050955414012738856,0.0897484756097561,5.093600242644828
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_3_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_custom025_rs1,max_recall_precision_ge_0.20,0.05,525,150,0.2857142857142857,0.1592356687898089,0.0897484756097561,3.1835001516530177
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_3_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_custom025_rs1,max_recall_precision_ge_0.20,0.1,1050,237,0.2257142857142857,0.2515923566878981,0.0897484756097561,2.514965119805884
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_3_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_custom025_rs1,max_recall_precision_ge_0.20,0.2,2100,360,0.17142857142857143,0.3821656050955414,0.0897484756097561,1.9101000909918107
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_3_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_custom025_rs1,max_recall_precision_ge_0.15,0.01,105,48,0.45714285714285713,0.050955414012738856,0.0897484756097561,5.093600242644828
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_3_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_custom025_rs1,max_recall_precision_ge_0.15,0.05,525,150,0.2857142857142857,0.1592356687898089,0.0897484756097561,3.1835001516530177
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_3_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_custom025_rs1,max_recall_precision_ge_0.15,0.1,1050,237,0.2257142857142857,0.2515923566878981,0.0897484756097561,2.514965119805884
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_3_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_custom025_rs1,max_recall_precision_ge_0.15,0.2,2100,360,0.17142857142857143,0.3821656050955414,0.0897484756097561,1.9101000909918107
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_3_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_custom025_rs1,max_recall_precision_ge_0.12,0.01,105,48,0.45714285714285713,0.050955414012738856,0.0897484756097561,5.093600242644828
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_3_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_custom025_rs1,max_recall_precision_ge_0.12,0.05,525,150,0.2857142857142857,0.1592356687898089,0.0897484756097561,3.1835001516530177
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_3_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_custom025_rs1,max_recall_precision_ge_0.12,0.1,1050,237,0.2257142857142857,0.2515923566878981,0.0897484756097561,2.514965119805884
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_3_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_custom025_rs1,max_recall_precision_ge_0.12,0.2,2100,360,0.17142857142857143,0.3821656050955414,0.0897484756097561,1.9101000909918107
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_3_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_custom025_rs1,best_f2,0.01,105,48,0.45714285714285713,0.050955414012738856,0.0897484756097561,5.093600242644828
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_3_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_custom025_rs1,best_f2,0.05,525,150,0.2857142857142857,0.1592356687898089,0.0897484756097561,3.1835001516530177
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_3_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_custom025_rs1,best_f2,0.1,1050,237,0.2257142857142857,0.2515923566878981,0.0897484756097561,2.514965119805884
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_3_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_custom025_rs1,best_f2,0.2,2100,360,0.17142857142857143,0.3821656050955414,0.0897484756097561,1.9101000909918107
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_3_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_custom025_rs1,default_0.5,0.01,105,48,0.45714285714285713,0.050955414012738856,0.0897484756097561,5.093600242644828
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_3_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_custom025_rs1,default_0.5,0.05,525,150,0.2857142857142857,0.1592356687898089,0.0897484756097561,3.1835001516530177
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_3_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_custom025_rs1,default_0.5,0.1,1050,237,0.2257142857142857,0.2515923566878981,0.0897484756097561,2.514965119805884
test,catboost_tuning_ensemble,catboost_tuning_ensemble,score_average_3_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1__d6_lr0015_l210_custom025_rs1,default_0.5,0.2,2100,360,0.17142857142857143,0.3821656050955414,0.0897484756097561,1.9101000909918107
test,catboost_tuning_ensemble,catboost_tuning_ensemble,rank_average_2_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1,best_f1,0.01,105,47,0.44761904761904764,0.049893842887473464,0.0897484756097561,4.987483570923062
test,catboost_tuning_ensemble,catboost_tuning_ensemble,rank_average_2_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1,best_f1,0.05,525,150,0.2857142857142857,0.1592356687898089,0.0897484756097561,3.1835001516530177
test,catboost_tuning_ensemble,catboost_tuning_ensemble,rank_average_2_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1,best_f1,0.1,1050,236,0.22476190476190477,0.2505307855626327,0.0897484756097561,2.5043534526337075
test,catboost_tuning_ensemble,catboost_tuning_ensemble,rank_average_2_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1,best_f1,0.2,2100,357,0.17,0.37898089171974525,0.0897484756097561,1.8941825902335456
test,catboost_tuning_ensemble,catboost_tuning_ensemble,rank_average_2_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1,max_recall_precision_ge_0.20,0.01,105,47,0.44761904761904764,0.049893842887473464,0.0897484756097561,4.987483570923062
test,catboost_tuning_ensemble,catboost_tuning_ensemble,rank_average_2_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1,max_recall_precision_ge_0.20,0.05,525,150,0.2857142857142857,0.1592356687898089,0.0897484756097561,3.1835001516530177
test,catboost_tuning_ensemble,catboost_tuning_ensemble,rank_average_2_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1,max_recall_precision_ge_0.20,0.1,1050,236,0.22476190476190477,0.2505307855626327,0.0897484756097561,2.5043534526337075
test,catboost_tuning_ensemble,catboost_tuning_ensemble,rank_average_2_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1,max_recall_precision_ge_0.20,0.2,2100,357,0.17,0.37898089171974525,0.0897484756097561,1.8941825902335456
test,catboost_tuning_ensemble,catboost_tuning_ensemble,rank_average_2_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1,max_recall_precision_ge_0.15,0.01,105,47,0.44761904761904764,0.049893842887473464,0.0897484756097561,4.987483570923062
test,catboost_tuning_ensemble,catboost_tuning_ensemble,rank_average_2_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1,max_recall_precision_ge_0.15,0.05,525,150,0.2857142857142857,0.1592356687898089,0.0897484756097561,3.1835001516530177
test,catboost_tuning_ensemble,catboost_tuning_ensemble,rank_average_2_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1,max_recall_precision_ge_0.15,0.1,1050,236,0.22476190476190477,0.2505307855626327,0.0897484756097561,2.5043534526337075
test,catboost_tuning_ensemble,catboost_tuning_ensemble,rank_average_2_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1,max_recall_precision_ge_0.15,0.2,2100,357,0.17,0.37898089171974525,0.0897484756097561,1.8941825902335456
test,catboost_tuning_ensemble,catboost_tuning_ensemble,rank_average_2_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1,best_f2,0.01,105,47,0.44761904761904764,0.049893842887473464,0.0897484756097561,4.987483570923062
test,catboost_tuning_ensemble,catboost_tuning_ensemble,rank_average_2_d6_lr0015_l210_sqrt_rs1__d6_lr0015_l210_custom025_rs1,best_f2,0.05,525,150,0.2857142857142857,0.1592356687898089,0.0897484756097561,3.1835001516530177
