split,experiment_family,feature_config,model_name,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d6_lr0.015_l210_SqrtBalanced,best_f1,0.01,105,45,0.42857142857142855,0.04777070063694268,0.0897484756097561,4.7752502274795265
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d6_lr0.015_l210_SqrtBalanced,best_f1,0.05,525,147,0.28,0.15605095541401273,0.0897484756097561,3.1198301486199576
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d6_lr0.015_l210_SqrtBalanced,best_f1,0.1,1050,244,0.23238095238095238,0.25902335456475584,0.0897484756097561,2.589246790011121
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d6_lr0.015_l210_SqrtBalanced,best_f1,0.2,2100,376,0.17904761904761904,0.3991507430997877,0.0897484756097561,1.9949934283692243
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d6_lr0.015_l210_SqrtBalanced,max_recall_precision_ge_0.20,0.01,105,45,0.42857142857142855,0.04777070063694268,0.0897484756097561,4.7752502274795265
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d6_lr0.015_l210_SqrtBalanced,max_recall_precision_ge_0.20,0.05,525,147,0.28,0.15605095541401273,0.0897484756097561,3.1198301486199576
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d6_lr0.015_l210_SqrtBalanced,max_recall_precision_ge_0.20,0.1,1050,244,0.23238095238095238,0.25902335456475584,0.0897484756097561,2.589246790011121
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d6_lr0.015_l210_SqrtBalanced,max_recall_precision_ge_0.20,0.2,2100,376,0.17904761904761904,0.3991507430997877,0.0897484756097561,1.9949934283692243
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d6_lr0.015_l210_SqrtBalanced,max_recall_precision_ge_0.15,0.01,105,45,0.42857142857142855,0.04777070063694268,0.0897484756097561,4.7752502274795265
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d6_lr0.015_l210_SqrtBalanced,max_recall_precision_ge_0.15,0.05,525,147,0.28,0.15605095541401273,0.0897484756097561,3.1198301486199576
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d6_lr0.015_l210_SqrtBalanced,max_recall_precision_ge_0.15,0.1,1050,244,0.23238095238095238,0.25902335456475584,0.0897484756097561,2.589246790011121
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d6_lr0.015_l210_SqrtBalanced,max_recall_precision_ge_0.15,0.2,2100,376,0.17904761904761904,0.3991507430997877,0.0897484756097561,1.9949934283692243
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d6_lr0.015_l210_SqrtBalanced,best_f2,0.01,105,45,0.42857142857142855,0.04777070063694268,0.0897484756097561,4.7752502274795265
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d6_lr0.015_l210_SqrtBalanced,best_f2,0.05,525,147,0.28,0.15605095541401273,0.0897484756097561,3.1198301486199576
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d6_lr0.015_l210_SqrtBalanced,best_f2,0.1,1050,244,0.23238095238095238,0.25902335456475584,0.0897484756097561,2.589246790011121
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d6_lr0.015_l210_SqrtBalanced,best_f2,0.2,2100,376,0.17904761904761904,0.3991507430997877,0.0897484756097561,1.9949934283692243
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d6_lr0.015_l210_SqrtBalanced,max_recall_precision_ge_0.12,0.01,105,45,0.42857142857142855,0.04777070063694268,0.0897484756097561,4.7752502274795265
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d6_lr0.015_l210_SqrtBalanced,max_recall_precision_ge_0.12,0.05,525,147,0.28,0.15605095541401273,0.0897484756097561,3.1198301486199576
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d6_lr0.015_l210_SqrtBalanced,max_recall_precision_ge_0.12,0.1,1050,244,0.23238095238095238,0.25902335456475584,0.0897484756097561,2.589246790011121
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d6_lr0.015_l210_SqrtBalanced,max_recall_precision_ge_0.12,0.2,2100,376,0.17904761904761904,0.3991507430997877,0.0897484756097561,1.9949934283692243
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d6_lr0.015_l210_SqrtBalanced,default_0.5,0.01,105,45,0.42857142857142855,0.04777070063694268,0.0897484756097561,4.7752502274795265
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d6_lr0.015_l210_SqrtBalanced,default_0.5,0.05,525,147,0.28,0.15605095541401273,0.0897484756097561,3.1198301486199576
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d6_lr0.015_l210_SqrtBalanced,default_0.5,0.1,1050,244,0.23238095238095238,0.25902335456475584,0.0897484756097561,2.589246790011121
test,feature_engineering_native_catboost,fe_weight_indicator_core,FE_NativeCat_d6_lr0.015_l210_SqrtBalanced,default_0.5,0.2,2100,376,0.17904761904761904,0.3991507430997877,0.0897484756097561,1.9949934283692243
test,feature_engineering_native_catboost,fe_summary_core,FE_NativeCat_d6_lr0.015_l210_customPW025,best_f1,0.01,105,47,0.44761904761904764,0.049893842887473464,0.0897484756097561,4.987483570923062
test,feature_engineering_native_catboost,fe_summary_core,FE_NativeCat_d6_lr0.015_l210_customPW025,best_f1,0.05,525,149,0.2838095238095238,0.15817409766454352,0.0897484756097561,3.162276817308664
test,feature_engineering_native_catboost,fe_summary_core,FE_NativeCat_d6_lr0.015_l210_customPW025,best_f1,0.1,1050,245,0.23333333333333334,0.26008492569002123,0.0897484756097561,2.599858457183298
test,feature_engineering_native_catboost,fe_summary_core,FE_NativeCat_d6_lr0.015_l210_customPW025,best_f1,0.2,2100,370,0.1761904761904762,0.39278131634819535,0.0897484756097561,1.9631584268526945
test,feature_engineering_native_catboost,fe_summary_core,FE_NativeCat_d6_lr0.015_l210_customPW025,max_recall_precision_ge_0.20,0.01,105,47,0.44761904761904764,0.049893842887473464,0.0897484756097561,4.987483570923062
