experiment_type,ensemble_name,member_key,feature_config,model_name,negative_ratio,seed,n_members,train_subset_rows,n_columns,fit_seconds,best_iteration,split,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
history_balanced_bagging_ensemble,score_average_ratio_1_8members,BagCat_d6_lr002_neg1_seed101|BagCat_d5_lr002_neg1_seed101|BagCat_d6_lr002_neg1_seed202|BagCat_d5_lr002_neg1_seed202|BagCat_d6_lr002_neg1_seed303|BagCat_d5_lr002_neg1_seed303|BagCat_d6_lr002_neg1_seed404|BagCat_d5_lr002_neg1_seed404,history_bagging_indicator_cat_interactions,score_average,1.0,-1,8,,199,0.0,,test,ranking,0.01,149,62,0.4161073825503356,0.037920489296636085,0.1102643647154033,3.7737249348357036
history_balanced_bagging_ensemble,score_average_ratio_1_8members,BagCat_d6_lr002_neg1_seed101|BagCat_d5_lr002_neg1_seed101|BagCat_d6_lr002_neg1_seed202|BagCat_d5_lr002_neg1_seed202|BagCat_d6_lr002_neg1_seed303|BagCat_d5_lr002_neg1_seed303|BagCat_d6_lr002_neg1_seed404|BagCat_d5_lr002_neg1_seed404,history_bagging_indicator_cat_interactions,score_average,1.0,-1,8,,199,0.0,,test,ranking,0.05,742,236,0.31805929919137466,0.14434250764525994,0.1102643647154033,2.884515772727647
history_balanced_bagging_ensemble,score_average_ratio_1_8members,BagCat_d6_lr002_neg1_seed101|BagCat_d5_lr002_neg1_seed101|BagCat_d6_lr002_neg1_seed202|BagCat_d5_lr002_neg1_seed202|BagCat_d6_lr002_neg1_seed303|BagCat_d5_lr002_neg1_seed303|BagCat_d6_lr002_neg1_seed404|BagCat_d5_lr002_neg1_seed404,history_bagging_indicator_cat_interactions,score_average,1.0,-1,8,,199,0.0,,test,ranking,0.1,1483,403,0.2717464598786244,0.24648318042813455,0.1102643647154033,2.4644993927096284
history_balanced_bagging_ensemble,score_average_ratio_1_8members,BagCat_d6_lr002_neg1_seed101|BagCat_d5_lr002_neg1_seed101|BagCat_d6_lr002_neg1_seed202|BagCat_d5_lr002_neg1_seed202|BagCat_d6_lr002_neg1_seed303|BagCat_d5_lr002_neg1_seed303|BagCat_d6_lr002_neg1_seed404|BagCat_d5_lr002_neg1_seed404,history_bagging_indicator_cat_interactions,score_average,1.0,-1,8,,199,0.0,,test,ranking,0.2,2966,645,0.2174645987862441,0.3944954128440367,0.1102643647154033,1.972211052478549
history_balanced_bagging_ensemble,rank_average_ratio_1_8members,BagCat_d6_lr002_neg1_seed101|BagCat_d5_lr002_neg1_seed101|BagCat_d6_lr002_neg1_seed202|BagCat_d5_lr002_neg1_seed202|BagCat_d6_lr002_neg1_seed303|BagCat_d5_lr002_neg1_seed303|BagCat_d6_lr002_neg1_seed404|BagCat_d5_lr002_neg1_seed404,history_bagging_indicator_cat_interactions,rank_average,1.0,-1,8,,199,0.0,,test,ranking,0.01,149,61,0.40939597315436244,0.03730886850152905,0.1102643647154033,3.7128584036286765
history_balanced_bagging_ensemble,rank_average_ratio_1_8members,BagCat_d6_lr002_neg1_seed101|BagCat_d5_lr002_neg1_seed101|BagCat_d6_lr002_neg1_seed202|BagCat_d5_lr002_neg1_seed202|BagCat_d6_lr002_neg1_seed303|BagCat_d5_lr002_neg1_seed303|BagCat_d6_lr002_neg1_seed404|BagCat_d5_lr002_neg1_seed404,history_bagging_indicator_cat_interactions,rank_average,1.0,-1,8,,199,0.0,,test,ranking,0.05,742,237,0.3194070080862534,0.14495412844036698,0.1102643647154033,2.896738297188358
history_balanced_bagging_ensemble,rank_average_ratio_1_8members,BagCat_d6_lr002_neg1_seed101|BagCat_d5_lr002_neg1_seed101|BagCat_d6_lr002_neg1_seed202|BagCat_d5_lr002_neg1_seed202|BagCat_d6_lr002_neg1_seed303|BagCat_d5_lr002_neg1_seed303|BagCat_d6_lr002_neg1_seed404|BagCat_d5_lr002_neg1_seed404,history_bagging_indicator_cat_interactions,rank_average,1.0,-1,8,,199,0.0,,test,ranking,0.1,1483,404,0.2724207687120701,0.2470948012232416,0.1102643647154033,2.4706147758180887
history_balanced_bagging_ensemble,rank_average_ratio_1_8members,BagCat_d6_lr002_neg1_seed101|BagCat_d5_lr002_neg1_seed101|BagCat_d6_lr002_neg1_seed202|BagCat_d5_lr002_neg1_seed202|BagCat_d6_lr002_neg1_seed303|BagCat_d5_lr002_neg1_seed303|BagCat_d6_lr002_neg1_seed404|BagCat_d5_lr002_neg1_seed404,history_bagging_indicator_cat_interactions,rank_average,1.0,-1,8,,199,0.0,,test,ranking,0.2,2966,643,0.2167902899527984,0.39327217125382263,0.1102643647154033,1.9660956693700884
history_balanced_bagging_ensemble,score_average_ratio_2_8members,BagCat_d6_lr002_neg2_seed101|BagCat_d5_lr002_neg2_seed101|BagCat_d6_lr002_neg2_seed202|BagCat_d5_lr002_neg2_seed202|BagCat_d6_lr002_neg2_seed303|BagCat_d5_lr002_neg2_seed303|BagCat_d6_lr002_neg2_seed404|BagCat_d5_lr002_neg2_seed404,history_bagging_indicator_cat_interactions,score_average,2.0,-1,8,,199,0.0,,test,ranking,0.01,149,68,0.4563758389261745,0.04159021406727829,0.1102643647154033,4.138924122077869
history_balanced_bagging_ensemble,score_average_ratio_2_8members,BagCat_d6_lr002_neg2_seed101|BagCat_d5_lr002_neg2_seed101|BagCat_d6_lr002_neg2_seed202|BagCat_d5_lr002_neg2_seed202|BagCat_d6_lr002_neg2_seed303|BagCat_d5_lr002_neg2_seed303|BagCat_d6_lr002_neg2_seed404|BagCat_d5_lr002_neg2_seed404,history_bagging_indicator_cat_interactions,score_average,2.0,-1,8,,199,0.0,,test,ranking,0.05,742,250,0.33692722371967654,0.1529051987767584,0.1102643647154033,3.0556311151775923
history_balanced_bagging_ensemble,score_average_ratio_2_8members,BagCat_d6_lr002_neg2_seed101|BagCat_d5_lr002_neg2_seed101|BagCat_d6_lr002_neg2_seed202|BagCat_d5_lr002_neg2_seed202|BagCat_d6_lr002_neg2_seed303|BagCat_d5_lr002_neg2_seed303|BagCat_d6_lr002_neg2_seed404|BagCat_d5_lr002_neg2_seed404,history_bagging_indicator_cat_interactions,score_average,2.0,-1,8,,199,0.0,,test,ranking,0.1,1483,406,0.2737693863789616,0.24831804281345565,0.1102643647154033,2.4828455420350104
history_balanced_bagging_ensemble,score_average_ratio_2_8members,BagCat_d6_lr002_neg2_seed101|BagCat_d5_lr002_neg2_seed101|BagCat_d6_lr002_neg2_seed202|BagCat_d5_lr002_neg2_seed202|BagCat_d6_lr002_neg2_seed303|BagCat_d5_lr002_neg2_seed303|BagCat_d6_lr002_neg2_seed404|BagCat_d5_lr002_neg2_seed404,history_bagging_indicator_cat_interactions,score_average,2.0,-1,8,,199,0.0,,test,ranking,0.2,2966,656,0.22117329737019556,0.40122324159021405,0.1102643647154033,2.0058456595750824
history_balanced_bagging_ensemble,rank_average_ratio_2_8members,BagCat_d6_lr002_neg2_seed101|BagCat_d5_lr002_neg2_seed101|BagCat_d6_lr002_neg2_seed202|BagCat_d5_lr002_neg2_seed202|BagCat_d6_lr002_neg2_seed303|BagCat_d5_lr002_neg2_seed303|BagCat_d6_lr002_neg2_seed404|BagCat_d5_lr002_neg2_seed404,history_bagging_indicator_cat_interactions,rank_average,2.0,-1,8,,199,0.0,,test,ranking,0.01,149,67,0.44966442953020136,0.04097859327217125,0.1102643647154033,4.078057590870841
history_balanced_bagging_ensemble,rank_average_ratio_2_8members,BagCat_d6_lr002_neg2_seed101|BagCat_d5_lr002_neg2_seed101|BagCat_d6_lr002_neg2_seed202|BagCat_d5_lr002_neg2_seed202|BagCat_d6_lr002_neg2_seed303|BagCat_d5_lr002_neg2_seed303|BagCat_d6_lr002_neg2_seed404|BagCat_d5_lr002_neg2_seed404,history_bagging_indicator_cat_interactions,rank_average,2.0,-1,8,,199,0.0,,test,ranking,0.05,742,249,0.33557951482479786,0.15229357798165138,0.1102643647154033,3.0434085907168824
history_balanced_bagging_ensemble,rank_average_ratio_2_8members,BagCat_d6_lr002_neg2_seed101|BagCat_d5_lr002_neg2_seed101|BagCat_d6_lr002_neg2_seed202|BagCat_d5_lr002_neg2_seed202|BagCat_d6_lr002_neg2_seed303|BagCat_d5_lr002_neg2_seed303|BagCat_d6_lr002_neg2_seed404|BagCat_d5_lr002_neg2_seed404,history_bagging_indicator_cat_interactions,rank_average,2.0,-1,8,,199,0.0,,test,ranking,0.1,1483,404,0.2724207687120701,0.2470948012232416,0.1102643647154033,2.4706147758180887
history_balanced_bagging_ensemble,rank_average_ratio_2_8members,BagCat_d6_lr002_neg2_seed101|BagCat_d5_lr002_neg2_seed101|BagCat_d6_lr002_neg2_seed202|BagCat_d5_lr002_neg2_seed202|BagCat_d6_lr002_neg2_seed303|BagCat_d5_lr002_neg2_seed303|BagCat_d6_lr002_neg2_seed404|BagCat_d5_lr002_neg2_seed404,history_bagging_indicator_cat_interactions,rank_average,2.0,-1,8,,199,0.0,,test,ranking,0.2,2966,656,0.22117329737019556,0.40122324159021405,0.1102643647154033,2.0058456595750824
history_balanced_bagging_ensemble,score_average_ratio_4_8members,BagCat_d6_lr002_neg4_seed101|BagCat_d5_lr002_neg4_seed101|BagCat_d6_lr002_neg4_seed202|BagCat_d5_lr002_neg4_seed202|BagCat_d6_lr002_neg4_seed303|BagCat_d5_lr002_neg4_seed303|BagCat_d6_lr002_neg4_seed404|BagCat_d5_lr002_neg4_seed404,history_bagging_indicator_cat_interactions,score_average,4.0,-1,8,,199,0.0,,test,ranking,0.01,149,73,0.4899328859060403,0.044648318042813454,0.1102643647154033,4.443256778113006
history_balanced_bagging_ensemble,score_average_ratio_4_8members,BagCat_d6_lr002_neg4_seed101|BagCat_d5_lr002_neg4_seed101|BagCat_d6_lr002_neg4_seed202|BagCat_d5_lr002_neg4_seed202|BagCat_d6_lr002_neg4_seed303|BagCat_d5_lr002_neg4_seed303|BagCat_d6_lr002_neg4_seed404|BagCat_d5_lr002_neg4_seed404,history_bagging_indicator_cat_interactions,score_average,4.0,-1,8,,199,0.0,,test,ranking,0.05,742,251,0.33827493261455527,0.15351681957186544,0.1102643647154033,3.067853639638303
history_balanced_bagging_ensemble,score_average_ratio_4_8members,BagCat_d6_lr002_neg4_seed101|BagCat_d5_lr002_neg4_seed101|BagCat_d6_lr002_neg4_seed202|BagCat_d5_lr002_neg4_seed202|BagCat_d6_lr002_neg4_seed303|BagCat_d5_lr002_neg4_seed303|BagCat_d6_lr002_neg4_seed404|BagCat_d5_lr002_neg4_seed404,history_bagging_indicator_cat_interactions,score_average,4.0,-1,8,,199,0.0,,test,ranking,0.1,1483,409,0.27579231287929873,0.25015290519877675,0.1102643647154033,2.5011916913603924
history_balanced_bagging_ensemble,score_average_ratio_4_8members,BagCat_d6_lr002_neg4_seed101|BagCat_d5_lr002_neg4_seed101|BagCat_d6_lr002_neg4_seed202|BagCat_d5_lr002_neg4_seed202|BagCat_d6_lr002_neg4_seed303|BagCat_d5_lr002_neg4_seed303|BagCat_d6_lr002_neg4_seed404|BagCat_d5_lr002_neg4_seed404,history_bagging_indicator_cat_interactions,score_average,4.0,-1,8,,199,0.0,,test,ranking,0.2,2966,658,0.22184760620364127,0.40244648318042814,0.1102643647154033,2.011961042683543
history_balanced_bagging_ensemble,rank_average_ratio_4_8members,BagCat_d6_lr002_neg4_seed101|BagCat_d5_lr002_neg4_seed101|BagCat_d6_lr002_neg4_seed202|BagCat_d5_lr002_neg4_seed202|BagCat_d6_lr002_neg4_seed303|BagCat_d5_lr002_neg4_seed303|BagCat_d6_lr002_neg4_seed404|BagCat_d5_lr002_neg4_seed404,history_bagging_indicator_cat_interactions,rank_average,4.0,-1,8,,199,0.0,,test,ranking,0.01,149,73,0.4899328859060403,0.044648318042813454,0.1102643647154033,4.443256778113006
history_balanced_bagging_ensemble,rank_average_ratio_4_8members,BagCat_d6_lr002_neg4_seed101|BagCat_d5_lr002_neg4_seed101|BagCat_d6_lr002_neg4_seed202|BagCat_d5_lr002_neg4_seed202|BagCat_d6_lr002_neg4_seed303|BagCat_d5_lr002_neg4_seed303|BagCat_d6_lr002_neg4_seed404|BagCat_d5_lr002_neg4_seed404,history_bagging_indicator_cat_interactions,rank_average,4.0,-1,8,,199,0.0,,test,ranking,0.05,742,248,0.33423180592991913,0.15168195718654434,0.1102643647154033,3.0311860662561716
