split,experiment_type,feature_config,model_name,row_order_seed,model_seed,negative_ratio,bootstrap_type,bagging_temperature,subsample,boosting_type,random_strength,l2_leaf_reg,train_subset_rows,n_columns,fit_seconds,best_iteration,status,error,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_default_row202_model202,202,202,-1.0,Default,,,Default,1.0,10.0,69444,199,69.52790358301718,1436,ok,,ranking,0.01,149,79,0.5302013422818792,0.048318042813455656,0.1102643647154033,4.808455965355171
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_default_row202_model202,202,202,-1.0,Default,,,Default,1.0,10.0,69444,199,69.52790358301718,1436,ok,,ranking,0.05,742,252,0.33962264150943394,0.15412844036697249,0.1102643647154033,3.080076164099013
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_default_row202_model202,202,202,-1.0,Default,,,Default,1.0,10.0,69444,199,69.52790358301718,1436,ok,,ranking,0.1,1483,411,0.27714093054619016,0.25137614678899084,0.1102643647154033,2.5134224575773136
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_default_row202_model202,202,202,-1.0,Default,,,Default,1.0,10.0,69444,199,69.52790358301718,1436,ok,,ranking,0.2,2966,664,0.22387053270397841,0.40611620795107034,0.1102643647154033,2.030307192008925
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bayesian_temp0,202,202,-1.0,Bayesian,0.0,,Default,1.0,10.0,69444,199,51.78756049997173,880,ok,,ranking,0.01,149,74,0.4966442953020134,0.04525993883792049,0.1102643647154033,4.5041233093200335
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bayesian_temp0,202,202,-1.0,Bayesian,0.0,,Default,1.0,10.0,69444,199,51.78756049997173,880,ok,,ranking,0.05,742,251,0.33827493261455527,0.15351681957186544,0.1102643647154033,3.067853639638303
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bayesian_temp0,202,202,-1.0,Bayesian,0.0,,Default,1.0,10.0,69444,199,51.78756049997173,880,ok,,ranking,0.1,1483,407,0.2744436952124073,0.2489296636085627,0.1102643647154033,2.4889609251434712
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bayesian_temp0,202,202,-1.0,Bayesian,0.0,,Default,1.0,10.0,69444,199,51.78756049997173,880,ok,,ranking,0.2,2966,656,0.22117329737019556,0.40122324159021405,0.1102643647154033,2.0058456595750824
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bayesian_temp0.5,202,202,-1.0,Bayesian,0.5,,Default,1.0,10.0,69444,199,76.35738258308265,1499,ok,,ranking,0.01,149,74,0.4966442953020134,0.04525993883792049,0.1102643647154033,4.5041233093200335
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bayesian_temp0.5,202,202,-1.0,Bayesian,0.5,,Default,1.0,10.0,69444,199,76.35738258308265,1499,ok,,ranking,0.05,742,254,0.3423180592991914,0.15535168195718654,0.1102643647154033,3.1045212130204343
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bayesian_temp0.5,202,202,-1.0,Bayesian,0.5,,Default,1.0,10.0,69444,199,76.35738258308265,1499,ok,,ranking,0.1,1483,411,0.27714093054619016,0.25137614678899084,0.1102643647154033,2.5134224575773136
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bayesian_temp0.5,202,202,-1.0,Bayesian,0.5,,Default,1.0,10.0,69444,199,76.35738258308265,1499,ok,,ranking,0.2,2966,655,0.2208361429534727,0.40061162079510704,0.1102643647154033,2.002787968020852
test,history_catboost_bootstrap_search,history_bootstrap_indicator_cat_interactions,BootstrapCat_full_bayesian_temp2,202,202,-1.0,Bayesian,2.0,,Default,1.0,10.0,69444,199,77.86534141702577,1490,ok,,ranking,0.01,149,68,0.4563758389261745,0.04159021406727829,0.1102643647154033,4.138924122077869
