experiment_type,ensemble_name,member_key,feature_config,model_name,row_order_seed,model_seed,random_strength,l2_leaf_reg,n_members,train_subset_rows,n_columns,fit_seconds,best_iteration,split,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
history_catboost_order_sensitivity_member,,OrderCat_same_seed_5,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_5,5,5,1.0,10.0,1,69444.0,199,59.05242850002833,1148.0,test,ranking,0.01,149,79,0.5302013422818792,0.048318042813455656,0.1102643647154033,4.808455965355171
history_catboost_order_sensitivity_member,,OrderCat_same_seed_5,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_5,5,5,1.0,10.0,1,69444.0,199,59.05242850002833,1148.0,test,ranking,0.05,742,252,0.33962264150943394,0.15412844036697249,0.1102643647154033,3.080076164099013
history_catboost_order_sensitivity_member,,OrderCat_same_seed_5,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_5,5,5,1.0,10.0,1,69444.0,199,59.05242850002833,1148.0,test,ranking,0.1,1483,415,0.279838165879973,0.25382262996941896,0.1102643647154033,2.5378839900111556
history_catboost_order_sensitivity_member,,OrderCat_same_seed_5,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_5,5,5,1.0,10.0,1,69444.0,199,59.05242850002833,1148.0,test,ranking,0.2,2966,658,0.22184760620364127,0.40244648318042814,0.1102643647154033,2.011961042683543
history_catboost_order_sensitivity_member,,OrderCat_same_seed_17,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_17,17,17,1.0,10.0,1,69444.0,199,70.71215245791245,1407.0,test,ranking,0.01,149,76,0.5100671140939598,0.046483180428134555,0.1102643647154033,4.625856371734089
history_catboost_order_sensitivity_member,,OrderCat_same_seed_17,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_17,17,17,1.0,10.0,1,69444.0,199,70.71215245791245,1407.0,test,ranking,0.05,742,246,0.33153638814016173,0.15045871559633028,0.1102643647154033,3.006741017334751
history_catboost_order_sensitivity_member,,OrderCat_same_seed_17,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_17,17,17,1.0,10.0,1,69444.0,199,70.71215245791245,1407.0,test,ranking,0.1,1483,409,0.27579231287929873,0.25015290519877675,0.1102643647154033,2.5011916913603924
history_catboost_order_sensitivity_member,,OrderCat_same_seed_17,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_17,17,17,1.0,10.0,1,69444.0,199,70.71215245791245,1407.0,test,ranking,0.2,2966,670,0.22589345920431558,0.40978593272171254,0.1102643647154033,2.0486533413343064
history_catboost_order_sensitivity_member,,OrderCat_same_seed_29,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_29,29,29,1.0,10.0,1,69444.0,199,69.3560556670418,1313.0,test,ranking,0.01,149,80,0.5369127516778524,0.04892966360856269,0.1102643647154033,4.869322496562198
history_catboost_order_sensitivity_member,,OrderCat_same_seed_29,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_29,29,29,1.0,10.0,1,69444.0,199,69.3560556670418,1313.0,test,ranking,0.05,742,245,0.330188679245283,0.14984709480122324,0.1102643647154033,2.9945184928740405
history_catboost_order_sensitivity_member,,OrderCat_same_seed_29,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_29,29,29,1.0,10.0,1,69444.0,199,69.3560556670418,1313.0,test,ranking,0.1,1483,408,0.275118004045853,0.24954128440366974,0.1102643647154033,2.4950763082519316
history_catboost_order_sensitivity_member,,OrderCat_same_seed_29,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_29,29,29,1.0,10.0,1,69444.0,199,69.3560556670418,1313.0,test,ranking,0.2,2966,649,0.21881321645313553,0.39694189602446484,0.1102643647154033,1.98444181869547
history_catboost_order_sensitivity_member,,OrderCat_same_seed_41,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_41,41,41,1.0,10.0,1,69444.0,199,60.49428204202559,1166.0,test,ranking,0.01,149,78,0.5234899328859061,0.047706422018348627,0.1102643647154033,4.747589434148144
history_catboost_order_sensitivity_member,,OrderCat_same_seed_41,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_41,41,41,1.0,10.0,1,69444.0,199,60.49428204202559,1166.0,test,ranking,0.05,742,252,0.33962264150943394,0.15412844036697249,0.1102643647154033,3.080076164099013
history_catboost_order_sensitivity_member,,OrderCat_same_seed_41,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_41,41,41,1.0,10.0,1,69444.0,199,60.49428204202559,1166.0,test,ranking,0.1,1483,412,0.27781523937963587,0.25198776758409785,0.1102643647154033,2.519537840685774
history_catboost_order_sensitivity_member,,OrderCat_same_seed_41,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_41,41,41,1.0,10.0,1,69444.0,199,60.49428204202559,1166.0,test,ranking,0.2,2966,645,0.2174645987862441,0.3944954128440367,0.1102643647154033,1.972211052478549
history_catboost_order_sensitivity_member,,OrderCat_same_seed_53,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_53,53,53,1.0,10.0,1,69444.0,199,57.81002970796544,1116.0,test,ranking,0.01,149,78,0.5234899328859061,0.047706422018348627,0.1102643647154033,4.747589434148144
history_catboost_order_sensitivity_member,,OrderCat_same_seed_53,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_53,53,53,1.0,10.0,1,69444.0,199,57.81002970796544,1116.0,test,ranking,0.05,742,249,0.33557951482479786,0.15229357798165138,0.1102643647154033,3.0434085907168824
history_catboost_order_sensitivity_member,,OrderCat_same_seed_53,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_53,53,53,1.0,10.0,1,69444.0,199,57.81002970796544,1116.0,test,ranking,0.1,1483,408,0.275118004045853,0.24954128440366974,0.1102643647154033,2.4950763082519316
history_catboost_order_sensitivity_member,,OrderCat_same_seed_53,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_53,53,53,1.0,10.0,1,69444.0,199,57.81002970796544,1116.0,test,ranking,0.2,2966,655,0.2208361429534727,0.40061162079510704,0.1102643647154033,2.002787968020852
history_catboost_order_sensitivity_member,,OrderCat_same_seed_67,history_order_sensitivity_indicator_cat_interactions,OrderCat_same_seed_67,67,67,1.0,10.0,1,69444.0,199,63.51715870806947,1192.0,test,ranking,0.01,149,76,0.5100671140939598,0.046483180428134555,0.1102643647154033,4.625856371734089
