experiment_type,ensemble_name,member_key,feature_config,model_name,prep_kind,n_members,n_columns,fit_seconds,status,error,split,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
history_heterogeneous_ensemble,score_average_top2_heterogeneous,XGBoost_depth4_spw1|XGBoost_depth3_spw025,history_heterogeneous_indicator_cat_interactions,score_average,mixed,2,199,0.0,ok,,test,ranking,0.01,149,71,0.47651006711409394,0.04342507645259939,0.1102643647154033,4.321523715698951
history_heterogeneous_ensemble,score_average_top2_heterogeneous,XGBoost_depth4_spw1|XGBoost_depth3_spw025,history_heterogeneous_indicator_cat_interactions,score_average,mixed,2,199,0.0,ok,,test,ranking,0.05,742,243,0.3274932614555256,0.14862385321100918,0.1102643647154033,2.9700734439526197
history_heterogeneous_ensemble,score_average_top2_heterogeneous,XGBoost_depth4_spw1|XGBoost_depth3_spw025,history_heterogeneous_indicator_cat_interactions,score_average,mixed,2,199,0.0,ok,,test,ranking,0.1,1483,392,0.2643290627107215,0.2397553516819572,0.1102643647154033,2.3972301785165615
history_heterogeneous_ensemble,score_average_top2_heterogeneous,XGBoost_depth4_spw1|XGBoost_depth3_spw025,history_heterogeneous_indicator_cat_interactions,score_average,mixed,2,199,0.0,ok,,test,ranking,0.2,2966,644,0.21712744436952125,0.39388379204892965,0.1102643647154033,1.9691533609243186
history_heterogeneous_ensemble,rank_average_top2_heterogeneous,XGBoost_depth4_spw1|XGBoost_depth3_spw025,history_heterogeneous_indicator_cat_interactions,rank_average,mixed,2,199,0.0,ok,,test,ranking,0.01,149,72,0.48322147651006714,0.044036697247706424,0.1102643647154033,4.382390246905978
history_heterogeneous_ensemble,rank_average_top2_heterogeneous,XGBoost_depth4_spw1|XGBoost_depth3_spw025,history_heterogeneous_indicator_cat_interactions,rank_average,mixed,2,199,0.0,ok,,test,ranking,0.05,742,244,0.3288409703504043,0.1492354740061162,0.1102643647154033,2.9822959684133306
history_heterogeneous_ensemble,rank_average_top2_heterogeneous,XGBoost_depth4_spw1|XGBoost_depth3_spw025,history_heterogeneous_indicator_cat_interactions,rank_average,mixed,2,199,0.0,ok,,test,ranking,0.1,1483,395,0.2663519892110587,0.2415902140672783,0.1102643647154033,2.4155763278419435
history_heterogeneous_ensemble,rank_average_top2_heterogeneous,XGBoost_depth4_spw1|XGBoost_depth3_spw025,history_heterogeneous_indicator_cat_interactions,rank_average,mixed,2,199,0.0,ok,,test,ranking,0.2,2966,640,0.2157788267026298,0.39143730886850153,0.1102643647154033,1.9569225947073972
history_heterogeneous_ensemble,score_average_top3_heterogeneous,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced,history_heterogeneous_indicator_cat_interactions,score_average,mixed,3,199,0.0,ok,,test,ranking,0.01,149,68,0.4563758389261745,0.04159021406727829,0.1102643647154033,4.138924122077869
history_heterogeneous_ensemble,score_average_top3_heterogeneous,XGBoost_depth4_spw1|XGBoost_depth3_spw025|HistGB_targetenc_balanced,history_heterogeneous_indicator_cat_interactions,score_average,mixed,3,199,0.0,ok,,test,ranking,0.05,742,250,0.33692722371967654,0.1529051987767584,0.1102643647154033,3.0556311151775923
