experiment_type,ensemble_name,member_key,feature_config,model_name,negative_ratio,seed,n_members,train_subset_rows,n_columns,fit_seconds,best_iteration,split,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed37,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed37,7.0,37,1,63200.0,199,61.59840100002475,1498.0,test,ranking,0.01,149,77,0.5167785234899329,0.04709480122324159,0.1102643647154033,4.686722902941116
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed37,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed37,7.0,37,1,63200.0,199,61.59840100002475,1498.0,test,ranking,0.05,742,252,0.33962264150943394,0.15412844036697249,0.1102643647154033,3.080076164099013
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed37,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed37,7.0,37,1,63200.0,199,61.59840100002475,1498.0,test,ranking,0.1,1483,415,0.279838165879973,0.25382262996941896,0.1102643647154033,2.5378839900111556
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed37,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed37,7.0,37,1,63200.0,199,61.59840100002475,1498.0,test,ranking,0.2,2966,661,0.22285906945380984,0.40428134556574924,0.1102643647154033,2.0211341173462336
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed202,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed202,7.0,202,1,63200.0,199,62.129774667089805,1479.0,test,ranking,0.01,149,71,0.47651006711409394,0.04342507645259939,0.1102643647154033,4.321523715698951
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed202,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed202,7.0,202,1,63200.0,199,62.129774667089805,1479.0,test,ranking,0.05,742,249,0.33557951482479786,0.15229357798165138,0.1102643647154033,3.0434085907168824
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed202,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed202,7.0,202,1,63200.0,199,62.129774667089805,1479.0,test,ranking,0.1,1483,419,0.2825354012137559,0.25626911314984707,0.1102643647154033,2.5623455224449985
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed202,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed202,7.0,202,1,63200.0,199,62.129774667089805,1479.0,test,ranking,0.2,2966,658,0.22184760620364127,0.40244648318042814,0.1102643647154033,2.011961042683543
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed404,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed404,7.0,404,1,63200.0,199,61.627603208995424,1464.0,test,ranking,0.01,149,79,0.5302013422818792,0.048318042813455656,0.1102643647154033,4.808455965355171
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed404,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed404,7.0,404,1,63200.0,199,61.627603208995424,1464.0,test,ranking,0.05,742,249,0.33557951482479786,0.15229357798165138,0.1102643647154033,3.0434085907168824
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed404,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed404,7.0,404,1,63200.0,199,61.627603208995424,1464.0,test,ranking,0.1,1483,412,0.27781523937963587,0.25198776758409785,0.1102643647154033,2.519537840685774
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed404,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed404,7.0,404,1,63200.0,199,61.627603208995424,1464.0,test,ranking,0.2,2966,662,0.2231962238705327,0.40489296636085625,0.1102643647154033,2.024191808900464
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed808,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed808,7.0,808,1,63200.0,199,64.82359033299144,1498.0,test,ranking,0.01,149,73,0.4899328859060403,0.044648318042813454,0.1102643647154033,4.443256778113006
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed808,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed808,7.0,808,1,63200.0,199,64.82359033299144,1498.0,test,ranking,0.05,742,248,0.33423180592991913,0.15168195718654434,0.1102643647154033,3.0311860662561716
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed808,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed808,7.0,808,1,63200.0,199,64.82359033299144,1498.0,test,ranking,0.1,1483,416,0.2805124747134187,0.25443425076452597,0.1102643647154033,2.5439993731196164
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7_seed808,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7_seed808,7.0,808,1,63200.0,199,64.82359033299144,1498.0,test,ranking,0.2,2966,650,0.2191503708698584,0.39755351681957185,0.1102643647154033,1.9874995102497004
history_negative_ratio_refinement_member,,NegRefineCat_d6_lr002_neg7.5_seed37,history_neg_ratio_refine_indicator_cat_interactions,NegRefineCat_d6_lr002_neg7.5_seed37,7.5,37,1,67150.0,199,69.29012162506115,1498.0,test,ranking,0.01,149,78,0.5234899328859061,0.047706422018348627,0.1102643647154033,4.747589434148144
