split,experiment_family,feature_config,model_name,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
test,weighted_or_calibrated,imb_raw_admin_age_paper_weight_indicator_rare100,XGBoost_d4_spw0.50,best_f1,0.01,105,39,0.37142857142857144,0.041401273885350316,0.0897484756097561,4.138550197148923
test,weighted_or_calibrated,imb_raw_admin_age_paper_weight_indicator_rare100,XGBoost_d4_spw0.50,best_f1,0.05,525,150,0.2857142857142857,0.1592356687898089,0.0897484756097561,3.1835001516530177
test,weighted_or_calibrated,imb_raw_admin_age_paper_weight_indicator_rare100,XGBoost_d4_spw0.50,best_f1,0.1,1050,235,0.22380952380952382,0.2494692144373673,0.0897484756097561,2.493741785461531
test,weighted_or_calibrated,imb_raw_admin_age_paper_weight_indicator_rare100,XGBoost_d4_spw0.50,best_f1,0.2,2100,364,0.17333333333333334,0.386411889596603,0.0897484756097561,1.9313234253361642
test,weighted_or_calibrated,imb_raw_admin_age_paper_weight_indicator_rare100,XGBoost_d4_spw0.50,max_recall_precision_ge_0.20,0.01,105,39,0.37142857142857144,0.041401273885350316,0.0897484756097561,4.138550197148923
test,weighted_or_calibrated,imb_raw_admin_age_paper_weight_indicator_rare100,XGBoost_d4_spw0.50,max_recall_precision_ge_0.20,0.05,525,150,0.2857142857142857,0.1592356687898089,0.0897484756097561,3.1835001516530177
test,weighted_or_calibrated,imb_raw_admin_age_paper_weight_indicator_rare100,XGBoost_d4_spw0.50,max_recall_precision_ge_0.20,0.1,1050,235,0.22380952380952382,0.2494692144373673,0.0897484756097561,2.493741785461531
test,weighted_or_calibrated,imb_raw_admin_age_paper_weight_indicator_rare100,XGBoost_d4_spw0.50,max_recall_precision_ge_0.20,0.2,2100,364,0.17333333333333334,0.386411889596603,0.0897484756097561,1.9313234253361642
test,weighted_or_calibrated,imb_raw_admin_age_paper_weight_indicator_rare100,XGBoost_d4_spw0.50,max_recall_precision_ge_0.15,0.01,105,39,0.37142857142857144,0.041401273885350316,0.0897484756097561,4.138550197148923
test,weighted_or_calibrated,imb_raw_admin_age_paper_weight_indicator_rare100,XGBoost_d4_spw0.50,max_recall_precision_ge_0.15,0.05,525,150,0.2857142857142857,0.1592356687898089,0.0897484756097561,3.1835001516530177
test,weighted_or_calibrated,imb_raw_admin_age_paper_weight_indicator_rare100,XGBoost_d4_spw0.50,max_recall_precision_ge_0.15,0.1,1050,235,0.22380952380952382,0.2494692144373673,0.0897484756097561,2.493741785461531
test,weighted_or_calibrated,imb_raw_admin_age_paper_weight_indicator_rare100,XGBoost_d4_spw0.50,max_recall_precision_ge_0.15,0.2,2100,364,0.17333333333333334,0.386411889596603,0.0897484756097561,1.9313234253361642
test,weighted_or_calibrated,imb_raw_admin_age_paper_weight_indicator_rare100,XGBoost_d4_spw0.50,default_0.5,0.01,105,39,0.37142857142857144,0.041401273885350316,0.0897484756097561,4.138550197148923
test,weighted_or_calibrated,imb_raw_admin_age_paper_weight_indicator_rare100,XGBoost_d4_spw0.50,default_0.5,0.05,525,150,0.2857142857142857,0.1592356687898089,0.0897484756097561,3.1835001516530177
test,weighted_or_calibrated,imb_raw_admin_age_paper_weight_indicator_rare100,XGBoost_d4_spw0.50,default_0.5,0.1,1050,235,0.22380952380952382,0.2494692144373673,0.0897484756097561,2.493741785461531
test,weighted_or_calibrated,imb_raw_admin_age_paper_weight_indicator_rare100,XGBoost_d4_spw0.50,default_0.5,0.2,2100,364,0.17333333333333334,0.386411889596603,0.0897484756097561,1.9313234253361642
test,weighted_or_calibrated,imb_raw_admin_age_paper_weight_indicator_rare100,XGBoost_d4_spw0.50,best_f2,0.01,105,39,0.37142857142857144,0.041401273885350316,0.0897484756097561,4.138550197148923
test,weighted_or_calibrated,imb_raw_admin_age_paper_weight_indicator_rare100,XGBoost_d4_spw0.50,best_f2,0.05,525,150,0.2857142857142857,0.1592356687898089,0.0897484756097561,3.1835001516530177
