split,experiment_family,feature_config,model_name,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
test,imbalance_refined_native_catboost,imb_ref_age_paper_summaries_only_rare100,RefinedNativeCat_d6_lr0.015_l210.0_customPW0.25,best_f1,0.01,105,49,0.4666666666666667,0.05201698513800425,0.0897484756097561,5.199716914366596
test,imbalance_refined_native_catboost,imb_ref_age_paper_summaries_only_rare100,RefinedNativeCat_d6_lr0.015_l210.0_customPW0.25,best_f1,0.05,525,150,0.2857142857142857,0.1592356687898089,0.0897484756097561,3.1835001516530177
test,imbalance_refined_native_catboost,imb_ref_age_paper_summaries_only_rare100,RefinedNativeCat_d6_lr0.015_l210.0_customPW0.25,best_f1,0.1,1050,242,0.23047619047619047,0.25690021231422505,0.0897484756097561,2.5680234556667676
test,imbalance_refined_native_catboost,imb_ref_age_paper_summaries_only_rare100,RefinedNativeCat_d6_lr0.015_l210.0_customPW0.25,best_f1,0.2,2100,357,0.17,0.37898089171974525,0.0897484756097561,1.8941825902335456
test,imbalance_refined_native_catboost,imb_ref_age_paper_summaries_only_rare100,RefinedNativeCat_d6_lr0.015_l210.0_customPW0.25,max_recall_precision_ge_0.20,0.01,105,49,0.4666666666666667,0.05201698513800425,0.0897484756097561,5.199716914366596
test,imbalance_refined_native_catboost,imb_ref_age_paper_summaries_only_rare100,RefinedNativeCat_d6_lr0.015_l210.0_customPW0.25,max_recall_precision_ge_0.20,0.05,525,150,0.2857142857142857,0.1592356687898089,0.0897484756097561,3.1835001516530177
test,imbalance_refined_native_catboost,imb_ref_age_paper_summaries_only_rare100,RefinedNativeCat_d6_lr0.015_l210.0_customPW0.25,max_recall_precision_ge_0.20,0.1,1050,242,0.23047619047619047,0.25690021231422505,0.0897484756097561,2.5680234556667676
test,imbalance_refined_native_catboost,imb_ref_age_paper_summaries_only_rare100,RefinedNativeCat_d6_lr0.015_l210.0_customPW0.25,max_recall_precision_ge_0.20,0.2,2100,357,0.17,0.37898089171974525,0.0897484756097561,1.8941825902335456
test,imbalance_refined_native_catboost,imb_ref_age_paper_summaries_only_rare100,RefinedNativeCat_d6_lr0.015_l210.0_customPW0.25,max_recall_precision_ge_0.15,0.01,105,49,0.4666666666666667,0.05201698513800425,0.0897484756097561,5.199716914366596
test,imbalance_refined_native_catboost,imb_ref_age_paper_summaries_only_rare100,RefinedNativeCat_d6_lr0.015_l210.0_customPW0.25,max_recall_precision_ge_0.15,0.05,525,150,0.2857142857142857,0.1592356687898089,0.0897484756097561,3.1835001516530177
test,imbalance_refined_native_catboost,imb_ref_age_paper_summaries_only_rare100,RefinedNativeCat_d6_lr0.015_l210.0_customPW0.25,max_recall_precision_ge_0.15,0.1,1050,242,0.23047619047619047,0.25690021231422505,0.0897484756097561,2.5680234556667676
test,imbalance_refined_native_catboost,imb_ref_age_paper_summaries_only_rare100,RefinedNativeCat_d6_lr0.015_l210.0_customPW0.25,max_recall_precision_ge_0.15,0.2,2100,357,0.17,0.37898089171974525,0.0897484756097561,1.8941825902335456
test,imbalance_refined_native_catboost,imb_ref_age_paper_summaries_only_rare100,RefinedNativeCat_d6_lr0.015_l210.0_customPW0.25,best_f2,0.01,105,49,0.4666666666666667,0.05201698513800425,0.0897484756097561,5.199716914366596
test,imbalance_refined_native_catboost,imb_ref_age_paper_summaries_only_rare100,RefinedNativeCat_d6_lr0.015_l210.0_customPW0.25,best_f2,0.05,525,150,0.2857142857142857,0.1592356687898089,0.0897484756097561,3.1835001516530177
test,imbalance_refined_native_catboost,imb_ref_age_paper_summaries_only_rare100,RefinedNativeCat_d6_lr0.015_l210.0_customPW0.25,best_f2,0.1,1050,242,0.23047619047619047,0.25690021231422505,0.0897484756097561,2.5680234556667676
test,imbalance_refined_native_catboost,imb_ref_age_paper_summaries_only_rare100,RefinedNativeCat_d6_lr0.015_l210.0_customPW0.25,best_f2,0.2,2100,357,0.17,0.37898089171974525,0.0897484756097561,1.8941825902335456
test,imbalance_refined_native_catboost,imb_ref_age_paper_summaries_only_rare100,RefinedNativeCat_d6_lr0.015_l210.0_customPW0.25,max_recall_precision_ge_0.12,0.01,105,49,0.4666666666666667,0.05201698513800425,0.0897484756097561,5.199716914366596
test,imbalance_refined_native_catboost,imb_ref_age_paper_summaries_only_rare100,RefinedNativeCat_d6_lr0.015_l210.0_customPW0.25,max_recall_precision_ge_0.12,0.05,525,150,0.2857142857142857,0.1592356687898089,0.0897484756097561,3.1835001516530177
test,imbalance_refined_native_catboost,imb_ref_age_paper_summaries_only_rare100,RefinedNativeCat_d6_lr0.015_l210.0_customPW0.25,max_recall_precision_ge_0.12,0.1,1050,242,0.23047619047619047,0.25690021231422505,0.0897484756097561,2.5680234556667676
test,imbalance_refined_native_catboost,imb_ref_age_paper_summaries_only_rare100,RefinedNativeCat_d6_lr0.015_l210.0_customPW0.25,max_recall_precision_ge_0.12,0.2,2100,357,0.17,0.37898089171974525,0.0897484756097561,1.8941825902335456
test,imbalance_refined_native_catboost,imb_ref_age_paper_summaries_only_rare100,RefinedNativeCat_d6_lr0.015_l210.0_customPW0.25,default_0.5,0.01,105,49,0.4666666666666667,0.05201698513800425,0.0897484756097561,5.199716914366596
test,imbalance_refined_native_catboost,imb_ref_age_paper_summaries_only_rare100,RefinedNativeCat_d6_lr0.015_l210.0_customPW0.25,default_0.5,0.05,525,150,0.2857142857142857,0.1592356687898089,0.0897484756097561,3.1835001516530177
test,imbalance_refined_native_catboost,imb_ref_age_paper_summaries_only_rare100,RefinedNativeCat_d6_lr0.015_l210.0_customPW0.25,default_0.5,0.1,1050,242,0.23047619047619047,0.25690021231422505,0.0897484756097561,2.5680234556667676
test,imbalance_refined_native_catboost,imb_ref_age_paper_summaries_only_rare100,RefinedNativeCat_d6_lr0.015_l210.0_customPW0.25,default_0.5,0.2,2100,357,0.17,0.37898089171974525,0.0897484756097561,1.8941825902335456
test,imbalance_refined_native_catboost,imb_ref_age_paper_weight_indicator_rare100,RefinedNativeCat_d6_lr0.018_l28.0_SqrtBalanced,best_f1,0.01,105,46,0.4380952380952381,0.04883227176220807,0.0897484756097561,4.881366899201294
test,imbalance_refined_native_catboost,imb_ref_age_paper_weight_indicator_rare100,RefinedNativeCat_d6_lr0.018_l28.0_SqrtBalanced,best_f1,0.05,525,152,0.2895238095238095,0.1613588110403397,0.0897484756097561,3.2259468203417248
test,imbalance_refined_native_catboost,imb_ref_age_paper_weight_indicator_rare100,RefinedNativeCat_d6_lr0.018_l28.0_SqrtBalanced,best_f1,0.1,1050,240,0.22857142857142856,0.25477707006369427,0.0897484756097561,2.546800121322414
test,imbalance_refined_native_catboost,imb_ref_age_paper_weight_indicator_rare100,RefinedNativeCat_d6_lr0.018_l28.0_SqrtBalanced,best_f1,0.2,2100,361,0.1719047619047619,0.3832271762208068,0.0897484756097561,1.915405924577899
test,imbalance_refined_native_catboost,imb_ref_age_paper_weight_indicator_rare100,RefinedNativeCat_d6_lr0.018_l28.0_SqrtBalanced,max_recall_precision_ge_0.20,0.01,105,46,0.4380952380952381,0.04883227176220807,0.0897484756097561,4.881366899201294
test,imbalance_refined_native_catboost,imb_ref_age_paper_weight_indicator_rare100,RefinedNativeCat_d6_lr0.018_l28.0_SqrtBalanced,max_recall_precision_ge_0.20,0.05,525,152,0.2895238095238095,0.1613588110403397,0.0897484756097561,3.2259468203417248
test,imbalance_refined_native_catboost,imb_ref_age_paper_weight_indicator_rare100,RefinedNativeCat_d6_lr0.018_l28.0_SqrtBalanced,max_recall_precision_ge_0.20,0.1,1050,240,0.22857142857142856,0.25477707006369427,0.0897484756097561,2.546800121322414
test,imbalance_refined_native_catboost,imb_ref_age_paper_weight_indicator_rare100,RefinedNativeCat_d6_lr0.018_l28.0_SqrtBalanced,max_recall_precision_ge_0.20,0.2,2100,361,0.1719047619047619,0.3832271762208068,0.0897484756097561,1.915405924577899
test,imbalance_refined_native_catboost,imb_ref_age_paper_weight_indicator_rare100,RefinedNativeCat_d6_lr0.018_l28.0_SqrtBalanced,max_recall_precision_ge_0.15,0.01,105,46,0.4380952380952381,0.04883227176220807,0.0897484756097561,4.881366899201294
test,imbalance_refined_native_catboost,imb_ref_age_paper_weight_indicator_rare100,RefinedNativeCat_d6_lr0.018_l28.0_SqrtBalanced,max_recall_precision_ge_0.15,0.05,525,152,0.2895238095238095,0.1613588110403397,0.0897484756097561,3.2259468203417248
test,imbalance_refined_native_catboost,imb_ref_age_paper_weight_indicator_rare100,RefinedNativeCat_d6_lr0.018_l28.0_SqrtBalanced,max_recall_precision_ge_0.15,0.1,1050,240,0.22857142857142856,0.25477707006369427,0.0897484756097561,2.546800121322414
test,imbalance_refined_native_catboost,imb_ref_age_paper_weight_indicator_rare100,RefinedNativeCat_d6_lr0.018_l28.0_SqrtBalanced,max_recall_precision_ge_0.15,0.2,2100,361,0.1719047619047619,0.3832271762208068,0.0897484756097561,1.915405924577899
test,imbalance_refined_native_catboost,imb_ref_age_paper_weight_indicator_rare100,RefinedNativeCat_d6_lr0.018_l28.0_SqrtBalanced,best_f2,0.01,105,46,0.4380952380952381,0.04883227176220807,0.0897484756097561,4.881366899201294
test,imbalance_refined_native_catboost,imb_ref_age_paper_weight_indicator_rare100,RefinedNativeCat_d6_lr0.018_l28.0_SqrtBalanced,best_f2,0.05,525,152,0.2895238095238095,0.1613588110403397,0.0897484756097561,3.2259468203417248
test,imbalance_refined_native_catboost,imb_ref_age_paper_weight_indicator_rare100,RefinedNativeCat_d6_lr0.018_l28.0_SqrtBalanced,best_f2,0.1,1050,240,0.22857142857142856,0.25477707006369427,0.0897484756097561,2.546800121322414
test,imbalance_refined_native_catboost,imb_ref_age_paper_weight_indicator_rare100,RefinedNativeCat_d6_lr0.018_l28.0_SqrtBalanced,best_f2,0.2,2100,361,0.1719047619047619,0.3832271762208068,0.0897484756097561,1.915405924577899
test,imbalance_refined_ohe,imb_ref_age_paper_summaries_only_rare100,RefinedXGB_d5_lr0.01_child8_spw0.50,best_f1,0.01,105,38,0.3619047619047619,0.040339702760084924,0.0897484756097561,4.032433525427156
test,imbalance_refined_ohe,imb_ref_age_paper_summaries_only_rare100,RefinedXGB_d5_lr0.01_child8_spw0.50,best_f1,0.05,525,146,0.2780952380952381,0.15498938428874734,0.0897484756097561,3.098606814275604
test,imbalance_refined_ohe,imb_ref_age_paper_summaries_only_rare100,RefinedXGB_d5_lr0.01_child8_spw0.50,best_f1,0.1,1050,235,0.22380952380952382,0.2494692144373673,0.0897484756097561,2.493741785461531
test,imbalance_refined_ohe,imb_ref_age_paper_summaries_only_rare100,RefinedXGB_d5_lr0.01_child8_spw0.50,best_f1,0.2,2100,363,0.17285714285714285,0.3853503184713376,0.0897484756097561,1.9260175917500757
test,imbalance_refined_ohe,imb_ref_age_paper_summaries_only_rare100,RefinedLGBM_l31_lr0.012_child40_spw0.25,best_f1,0.01,105,42,0.4,0.044585987261146494,0.0897484756097561,4.456900212314225
test,imbalance_refined_ohe,imb_ref_age_paper_summaries_only_rare100,RefinedLGBM_l31_lr0.012_child40_spw0.25,best_f1,0.05,525,149,0.2838095238095238,0.15817409766454352,0.0897484756097561,3.162276817308664
test,imbalance_refined_ohe,imb_ref_age_paper_summaries_only_rare100,RefinedLGBM_l31_lr0.012_child40_spw0.25,best_f1,0.1,1050,234,0.22285714285714286,0.2484076433121019,0.0897484756097561,2.483130118289354
test,imbalance_refined_ohe,imb_ref_age_paper_summaries_only_rare100,RefinedLGBM_l31_lr0.012_child40_spw0.25,best_f1,0.2,2100,353,0.1680952380952381,0.3747346072186836,0.0897484756097561,1.8729592558891923
test,imbalance_refined_ohe,imb_ref_age_paper_weight_indicator_rare100,RefinedXGB_d5_lr0.01_child12_spw1.50,best_f1,0.01,105,36,0.34285714285714286,0.03821656050955414,0.0897484756097561,3.8202001819836213
test,imbalance_refined_ohe,imb_ref_age_paper_weight_indicator_rare100,RefinedXGB_d5_lr0.01_child12_spw1.50,best_f1,0.05,525,140,0.26666666666666666,0.14861995753715498,0.0897484756097561,2.9712668082094833
test,imbalance_refined_ohe,imb_ref_age_paper_weight_indicator_rare100,RefinedXGB_d5_lr0.01_child12_spw1.50,best_f1,0.1,1050,238,0.22666666666666666,0.2526539278131635,0.0897484756097561,2.5255767869780605
test,imbalance_refined_ohe,imb_ref_age_paper_weight_indicator_rare100,RefinedXGB_d5_lr0.01_child12_spw1.50,best_f1,0.2,2100,360,0.17142857142857143,0.3821656050955414,0.0897484756097561,1.9101000909918107
test,imbalance_refined_ohe,imb_ref_age_paper_summaries_only_rare100,RefinedXGB_d5_lr0.01_child12_spw1.50,best_f1,0.01,105,36,0.34285714285714286,0.03821656050955414,0.0897484756097561,3.8202001819836213
test,imbalance_refined_ohe,imb_ref_age_paper_summaries_only_rare100,RefinedXGB_d5_lr0.01_child12_spw1.50,best_f1,0.05,525,136,0.259047619047619,0.14437367303609341,0.0897484756097561,2.886373470832069
test,imbalance_refined_ohe,imb_ref_age_paper_summaries_only_rare100,RefinedXGB_d5_lr0.01_child12_spw1.50,best_f1,0.1,1050,233,0.2219047619047619,0.24734607218683652,0.0897484756097561,2.4725184511171774
test,imbalance_refined_ohe,imb_ref_age_paper_summaries_only_rare100,RefinedXGB_d5_lr0.01_child12_spw1.50,best_f1,0.2,2100,358,0.17047619047619048,0.38004246284501064,0.0897484756097561,1.899488423819634
test,imbalance_refined_ohe,imb_ref_age_paper_summaries_only_rare100,RefinedXGB_d5_lr0.01_child10_spw1.00,best_f1,0.01,105,37,0.3523809523809524,0.03927813163481953,0.0897484756097561,3.926316853705389
test,imbalance_refined_ohe,imb_ref_age_paper_summaries_only_rare100,RefinedXGB_d5_lr0.01_child10_spw1.00,best_f1,0.05,525,142,0.2704761904761905,0.15074309978768577,0.0897484756097561,3.0137134768981904
test,imbalance_refined_ohe,imb_ref_age_paper_summaries_only_rare100,RefinedXGB_d5_lr0.01_child10_spw1.00,best_f1,0.1,1050,239,0.2276190476190476,0.2537154989384289,0.0897484756097561,2.5361884541502375
test,imbalance_refined_ohe,imb_ref_age_paper_summaries_only_rare100,RefinedXGB_d5_lr0.01_child10_spw1.00,best_f1,0.2,2100,354,0.16857142857142857,0.37579617834394907,0.0897484756097561,1.8782650894752804
test,imbalance_refined_ohe,imb_ref_age_paper_weight_indicator_rare100,RefinedXGB_d5_lr0.01_child10_spw1.00,best_f1,0.01,105,40,0.38095238095238093,0.04246284501061571,0.0897484756097561,4.244666868870691
test,imbalance_refined_ohe,imb_ref_age_paper_weight_indicator_rare100,RefinedXGB_d5_lr0.01_child10_spw1.00,best_f1,0.05,525,141,0.26857142857142857,0.14968152866242038,0.0897484756097561,2.992490142553837
test,imbalance_refined_ohe,imb_ref_age_paper_weight_indicator_rare100,RefinedXGB_d5_lr0.01_child10_spw1.00,best_f1,0.1,1050,236,0.22476190476190477,0.2505307855626327,0.0897484756097561,2.5043534526337075
test,imbalance_refined_ohe,imb_ref_age_paper_weight_indicator_rare100,RefinedXGB_d5_lr0.01_child10_spw1.00,best_f1,0.2,2100,361,0.1719047619047619,0.3832271762208068,0.0897484756097561,1.915405924577899
test,imbalance_refined_ohe,imb_ref_age_paper_weight_indicator_rare100,RefinedLGBM_l31_lr0.012_child60_spw0.75,best_f1,0.01,105,41,0.3904761904761905,0.0435244161358811,0.0897484756097561,4.350783540592458
test,imbalance_refined_ohe,imb_ref_age_paper_weight_indicator_rare100,RefinedLGBM_l31_lr0.012_child60_spw0.75,best_f1,0.05,525,149,0.2838095238095238,0.15817409766454352,0.0897484756097561,3.162276817308664
test,imbalance_refined_ohe,imb_ref_age_paper_weight_indicator_rare100,RefinedLGBM_l31_lr0.012_child60_spw0.75,best_f1,0.1,1050,238,0.22666666666666666,0.2526539278131635,0.0897484756097561,2.5255767869780605
test,imbalance_refined_ohe,imb_ref_age_paper_weight_indicator_rare100,RefinedLGBM_l31_lr0.012_child60_spw0.75,best_f1,0.2,2100,357,0.17,0.37898089171974525,0.0897484756097561,1.8941825902335456
test,imbalance_refined_ohe,imb_ref_age_paper_weight_indicator_rare100,RefinedLGBM_l63_lr0.01_child60_spw0.50,best_f1,0.01,105,40,0.38095238095238093,0.04246284501061571,0.0897484756097561,4.244666868870691
test,imbalance_refined_ohe,imb_ref_age_paper_weight_indicator_rare100,RefinedLGBM_l63_lr0.01_child60_spw0.50,best_f1,0.05,525,142,0.2704761904761905,0.15074309978768577,0.0897484756097561,3.0137134768981904
test,imbalance_refined_ohe,imb_ref_age_paper_weight_indicator_rare100,RefinedLGBM_l63_lr0.01_child60_spw0.50,best_f1,0.1,1050,221,0.21047619047619048,0.2346072186836518,0.0897484756097561,2.3451784450510567
test,imbalance_refined_ohe,imb_ref_age_paper_weight_indicator_rare100,RefinedLGBM_l63_lr0.01_child60_spw0.50,best_f1,0.2,2100,349,0.1661904761904762,0.37048832271762205,0.0897484756097561,1.8517359215448388
test,imbalance_refined_ohe,imb_ref_raw_age_weight_category_rare100,RefinedXGB_d5_lr0.01_child10_spw1.00,best_f1,0.01,105,44,0.41904761904761906,0.04670912951167728,0.0897484756097561,4.669133555757759
test,imbalance_refined_ohe,imb_ref_raw_age_weight_category_rare100,RefinedXGB_d5_lr0.01_child10_spw1.00,best_f1,0.05,525,132,0.25142857142857145,0.14012738853503184,0.0897484756097561,2.801480133454656
test,imbalance_refined_ohe,imb_ref_raw_age_weight_category_rare100,RefinedXGB_d5_lr0.01_child10_spw1.00,best_f1,0.1,1050,230,0.21904761904761905,0.24416135881104034,0.0897484756097561,2.440683449600647
test,imbalance_refined_ohe,imb_ref_raw_age_weight_category_rare100,RefinedXGB_d5_lr0.01_child10_spw1.00,best_f1,0.2,2100,358,0.17047619047619048,0.38004246284501064,0.0897484756097561,1.899488423819634
test,imbalance_refined_ohe,imb_ref_age_paper_summaries_only_rare100,RefinedXGB_d4_lr0.012_child12_spw1.50,best_f1,0.01,105,36,0.34285714285714286,0.03821656050955414,0.0897484756097561,3.8202001819836213
test,imbalance_refined_ohe,imb_ref_age_paper_summaries_only_rare100,RefinedXGB_d4_lr0.012_child12_spw1.50,best_f1,0.05,525,137,0.26095238095238094,0.1454352441613588,0.0897484756097561,2.9075968051764227
test,imbalance_refined_ohe,imb_ref_age_paper_summaries_only_rare100,RefinedXGB_d4_lr0.012_child12_spw1.50,best_f1,0.1,1050,232,0.22095238095238096,0.24628450106157113,0.0897484756097561,2.4619067839450004
test,imbalance_refined_ohe,imb_ref_age_paper_summaries_only_rare100,RefinedXGB_d4_lr0.012_child12_spw1.50,best_f1,0.2,2100,362,0.17238095238095238,0.3842887473460722,0.0897484756097561,1.9207117581639874
test,imbalance_refined_ohe,imb_ref_age_paper_summaries_only_rare100,RefinedXGB_d5_lr0.01_child12_spw1.50,max_recall_precision_ge_0.20,0.01,105,36,0.34285714285714286,0.03821656050955414,0.0897484756097561,3.8202001819836213
test,imbalance_refined_ohe,imb_ref_age_paper_summaries_only_rare100,RefinedXGB_d5_lr0.01_child12_spw1.50,max_recall_precision_ge_0.20,0.05,525,136,0.259047619047619,0.14437367303609341,0.0897484756097561,2.886373470832069
test,imbalance_refined_ohe,imb_ref_age_paper_summaries_only_rare100,RefinedXGB_d5_lr0.01_child12_spw1.50,max_recall_precision_ge_0.20,0.1,1050,233,0.2219047619047619,0.24734607218683652,0.0897484756097561,2.4725184511171774
test,imbalance_refined_ohe,imb_ref_age_paper_summaries_only_rare100,RefinedXGB_d5_lr0.01_child12_spw1.50,max_recall_precision_ge_0.20,0.2,2100,358,0.17047619047619048,0.38004246284501064,0.0897484756097561,1.899488423819634
test,imbalance_refined_ohe,imb_ref_age_paper_summaries_only_rare100,RefinedXGB_d5_lr0.01_child10_spw1.00,max_recall_precision_ge_0.20,0.01,105,37,0.3523809523809524,0.03927813163481953,0.0897484756097561,3.926316853705389
test,imbalance_refined_ohe,imb_ref_age_paper_summaries_only_rare100,RefinedXGB_d5_lr0.01_child10_spw1.00,max_recall_precision_ge_0.20,0.05,525,142,0.2704761904761905,0.15074309978768577,0.0897484756097561,3.0137134768981904
test,imbalance_refined_ohe,imb_ref_age_paper_summaries_only_rare100,RefinedXGB_d5_lr0.01_child10_spw1.00,max_recall_precision_ge_0.20,0.1,1050,239,0.2276190476190476,0.2537154989384289,0.0897484756097561,2.5361884541502375
test,imbalance_refined_ohe,imb_ref_age_paper_summaries_only_rare100,RefinedXGB_d5_lr0.01_child10_spw1.00,max_recall_precision_ge_0.20,0.2,2100,354,0.16857142857142857,0.37579617834394907,0.0897484756097561,1.8782650894752804
test,imbalance_refined_ohe,imb_ref_age_paper_weight_indicator_rare100,RefinedXGB_d5_lr0.01_child10_spw1.00,max_recall_precision_ge_0.20,0.01,105,40,0.38095238095238093,0.04246284501061571,0.0897484756097561,4.244666868870691
test,imbalance_refined_ohe,imb_ref_age_paper_weight_indicator_rare100,RefinedXGB_d5_lr0.01_child10_spw1.00,max_recall_precision_ge_0.20,0.05,525,141,0.26857142857142857,0.14968152866242038,0.0897484756097561,2.992490142553837
test,imbalance_refined_ohe,imb_ref_age_paper_weight_indicator_rare100,RefinedXGB_d5_lr0.01_child10_spw1.00,max_recall_precision_ge_0.20,0.1,1050,236,0.22476190476190477,0.2505307855626327,0.0897484756097561,2.5043534526337075
test,imbalance_refined_ohe,imb_ref_age_paper_weight_indicator_rare100,RefinedXGB_d5_lr0.01_child10_spw1.00,max_recall_precision_ge_0.20,0.2,2100,361,0.1719047619047619,0.3832271762208068,0.0897484756097561,1.915405924577899
test,imbalance_refined_ohe,imb_ref_age_paper_weight_indicator_rare100,RefinedXGB_d5_lr0.01_child12_spw1.50,max_recall_precision_ge_0.20,0.01,105,36,0.34285714285714286,0.03821656050955414,0.0897484756097561,3.8202001819836213
