threshold_strategy,threshold,pr_auc,roc_auc,recall,precision,f1,accuracy,tn,fp,fn,tp,dataset_name,split_mode,train_rows,test_rows,train_positive_rate,test_positive_rate,train_patients,test_patients,patient_overlap,model_name,fit_seconds,status
default_0.5,0.5,0.20825346630617134,0.6564143563188781,0.0,0.0,0.0,0.8871257240760382,21747,0,2767,0,paper_all_rows,paper_random_75_25,73539,24514,0.1128516841403881,0.11287427592396182,54928,21608,7906,PaperRF_250_depth5_unweighted,1.1248668750049546,ok
best_f1,0.12609714057674054,0.20825346630617134,0.6564143563188781,0.42031080592699677,0.20793849454675487,0.2782296650717703,0.7538549400342661,17317,4430,1604,1163,paper_all_rows,paper_random_75_25,73539,24514,0.1128516841403881,0.11287427592396182,54928,21608,7906,PaperRF_250_depth5_unweighted,1.1248668750049546,ok
default_0.5,0.5,0.19964173134233348,0.6572964157629076,0.6017347307553307,0.16859052247873632,0.26338685438582615,0.6200946397976667,13536,8211,1102,1665,paper_all_rows,paper_random_75_25,73539,24514,0.1128516841403881,0.11287427592396182,54928,21608,7906,PaperRF_250_depth5_balanced,1.8049469580873847,ok
best_f1,0.5204130232298498,0.19964173134233348,0.6572964157629076,0.45428261655222263,0.19296898986797667,0.27087598319146644,0.7239536591335564,16490,5257,1510,1257,paper_all_rows,paper_random_75_25,73539,24514,0.1128516841403881,0.11287427592396182,54928,21608,7906,PaperRF_250_depth5_balanced,1.8049469580873847,ok
default_0.5,0.5,0.2075969450928498,0.6635913159031659,0.5923382724972894,0.17576407506702413,0.271088322858088,0.6404503548992413,14061,7686,1128,1639,paper_all_rows,paper_random_75_25,73539,24514,0.1128516841403881,0.11287427592396182,54928,21608,7906,PaperRF_250_depth8_balanced,1.9099642500514165,ok
best_f1,0.5231014867192063,0.2075969450928498,0.6635913159031659,0.47090711962414167,0.19763385408766873,0.27841880341880343,0.7244839683446194,16457,5290,1464,1303,paper_all_rows,paper_random_75_25,73539,24514,0.1128516841403881,0.11287427592396182,54928,21608,7906,PaperRF_250_depth8_balanced,1.9099642500514165,ok
default_0.5,0.5,0.16123257629069898,0.6285226435778712,0.9909649439826527,0.115857523133477,0.20746008927895893,0.14538630986375134,822,20925,25,2742,paper_all_rows,paper_random_75_25,73539,24514,0.1128516841403881,0.11287427592396182,54928,21608,7906,PaperGaussianNB,0.23098116694018245,ok
best_f1,0.9999999999999005,0.16123257629069898,0.6285226435778712,0.5251174557282255,0.16619009493308934,0.2524761077324066,0.6490168883087215,14457,7290,1314,1453,paper_all_rows,paper_random_75_25,73539,24514,0.1128516841403881,0.11287427592396182,54928,21608,7906,PaperGaussianNB,0.23098116694018245,ok
default_0.5,0.5,0.20273359974035798,0.6509989549789238,0.0,0.0,0.0,0.8894505136148704,21820,0,2712,0,paper_all_rows_patient_group,patient_group_75_25,73521,24532,0.11362739897444267,0.11054948638512962,51472,17158,0,PaperRF_250_depth5_unweighted,0.8197831669822335,ok
best_f1,0.12031957745266857,0.20273359974035798,0.6509989549789238,0.4889380530973451,0.1848598912588875,0.2682852807283763,0.705160606554704,15973,5847,1386,1326,paper_all_rows_patient_group,patient_group_75_25,73521,24532,0.11362739897444267,0.11054948638512962,51472,17158,0,PaperRF_250_depth5_unweighted,0.8197831669822335,ok
default_0.5,0.5,0.19839578059082083,0.6566616882835968,0.5848082595870207,0.17028129697229977,0.26376184932645935,0.639083645850318,14092,7728,1126,1586,paper_all_rows_patient_group,patient_group_75_25,73521,24532,0.11362739897444267,0.11054948638512962,51472,17158,0,PaperRF_250_depth5_balanced,1.7573474999517202,ok
