experiment_type,split_name,feature_config,model_name,seed,n_columns,best_iteration,fit_seconds,split,threshold_strategy,top_fraction,n_flagged,positives_captured,precision_at_k,recall_at_k,base_rate,lift
feature_engineering_variant,patient_group_70_15_15,base_no_extra_engineering,PlateauCatBoost_d6_lr002_custom025,42,31,1195,41.23408829094842,test,ranking,0.01,149,68,0.4563758389261745,0.04159021406727829,0.1102643647154033,4.138924122077869
feature_engineering_variant,patient_group_70_15_15,base_no_extra_engineering,PlateauCatBoost_d6_lr002_custom025,42,31,1195,41.23408829094842,test,ranking,0.05,742,229,0.3086253369272237,0.1400611620795107,0.1102643647154033,2.7989581015026745
feature_engineering_variant,patient_group_70_15_15,base_no_extra_engineering,PlateauCatBoost_d6_lr002_custom025,42,31,1195,41.23408829094842,test,ranking,0.1,1483,386,0.2602832097100472,0.236085626911315,0.1102643647154033,2.360537879865798
feature_engineering_variant,patient_group_70_15_15,base_no_extra_engineering,PlateauCatBoost_d6_lr002_custom025,42,31,1195,41.23408829094842,test,ranking,0.2,2966,639,0.21544167228590694,0.3908256880733945,0.1102643647154033,1.953864903153167
feature_engineering_variant,patient_group_70_15_15,full_summary,PlateauCatBoost_d6_lr002_custom025,42,158,1199,56.924423000076786,test,ranking,0.01,149,68,0.4563758389261745,0.04159021406727829,0.1102643647154033,4.138924122077869
feature_engineering_variant,patient_group_70_15_15,full_summary,PlateauCatBoost_d6_lr002_custom025,42,158,1199,56.924423000076786,test,ranking,0.05,742,241,0.3247978436657682,0.1474006116207951,0.1102643647154033,2.945628395031199
feature_engineering_variant,patient_group_70_15_15,full_summary,PlateauCatBoost_d6_lr002_custom025,42,158,1199,56.924423000076786,test,ranking,0.1,1483,395,0.2663519892110587,0.2415902140672783,0.1102643647154033,2.4155763278419435
feature_engineering_variant,patient_group_70_15_15,full_summary,PlateauCatBoost_d6_lr002_custom025,42,158,1199,56.924423000076786,test,ranking,0.2,2966,645,0.2174645987862441,0.3944954128440367,0.1102643647154033,1.972211052478549
feature_engineering_variant,patient_group_70_15_15,full_indicator,PlateauCatBoost_d6_lr002_custom025,42,158,1199,55.80656333302613,test,ranking,0.01,149,73,0.4899328859060403,0.044648318042813454,0.1102643647154033,4.443256778113006
feature_engineering_variant,patient_group_70_15_15,full_indicator,PlateauCatBoost_d6_lr002_custom025,42,158,1199,55.80656333302613,test,ranking,0.05,742,232,0.31266846361185985,0.1418960244648318,0.1102643647154033,2.835625674884806
feature_engineering_variant,patient_group_70_15_15,full_indicator,PlateauCatBoost_d6_lr002_custom025,42,158,1199,55.80656333302613,test,ranking,0.1,1483,395,0.2663519892110587,0.2415902140672783,0.1102643647154033,2.4155763278419435
feature_engineering_variant,patient_group_70_15_15,full_indicator,PlateauCatBoost_d6_lr002_custom025,42,158,1199,55.80656333302613,test,ranking,0.2,2966,647,0.21813890761968982,0.39571865443425075,0.1102643647154033,1.9783264355870094
feature_engineering_variant,patient_group_70_15_15,full_plus_categorical_interactions,PlateauCatBoost_d6_lr002_custom025,42,162,1198,64.53675587510224,test,ranking,0.01,149,72,0.48322147651006714,0.044036697247706424,0.1102643647154033,4.382390246905978
feature_engineering_variant,patient_group_70_15_15,full_plus_categorical_interactions,PlateauCatBoost_d6_lr002_custom025,42,162,1198,64.53675587510224,test,ranking,0.05,742,237,0.3194070080862534,0.14495412844036698,0.1102643647154033,2.896738297188358
feature_engineering_variant,patient_group_70_15_15,full_plus_categorical_interactions,PlateauCatBoost_d6_lr002_custom025,42,162,1198,64.53675587510224,test,ranking,0.1,1483,396,0.2670262980445044,0.24220183486238533,0.1102643647154033,2.4216917109504044
feature_engineering_variant,patient_group_70_15_15,full_plus_categorical_interactions,PlateauCatBoost_d6_lr002_custom025,42,162,1198,64.53675587510224,test,ranking,0.2,2966,644,0.21712744436952125,0.39388379204892965,0.1102643647154033,1.9691533609243186
feature_engineering_variant,patient_group_70_15_15,full_plus_raw_diag_codes,PlateauCatBoost_d6_lr002_custom025,42,161,1200,4.97876487497706,test,ranking,0.01,149,48,0.3221476510067114,0.029357798165137616,0.1102643647154033,2.9215934979373186
feature_engineering_variant,patient_group_70_15_15,full_plus_raw_diag_codes,PlateauCatBoost_d6_lr002_custom025,42,161,1200,4.97876487497706,test,ranking,0.05,742,197,0.26549865229110514,0.12048929663608562,0.1102643647154033,2.407837318759943
feature_engineering_variant,patient_group_70_15_15,full_plus_raw_diag_codes,PlateauCatBoost_d6_lr002_custom025,42,161,1200,4.97876487497706,test,ranking,0.1,1483,338,0.22791638570465272,0.20672782874617737,0.1102643647154033,2.0669994906596885
