threshold,pr_auc,roc_auc,recall,precision,f1,accuracy,tn,fp,fn,tp,split,experiment_type,ensemble_name,member_key,feature_config,model_name,n_members,fit_seconds,best_iteration,threshold_strategy
0.5,0.2691094231267811,0.699691302734937,0.0865654862282181,0.47384615384615386,0.14638783269961977,0.8808307345232566,13121,171,1625,154,validation,plateau_ensemble_member,,ens_full_summary__Cat_d6_lr0015_l210_custom025,ens_full_summary,Cat_d6_lr0015_l210_custom025,1,94.73835558304563,1889.0,default_0.5
0.2564742200414938,0.2691094231267811,0.699691302734937,0.43114109050028104,0.2593845113290497,0.32390202702702703,0.7875389821511513,11102,2190,1012,767,validation,plateau_ensemble_member,,ens_full_summary__Cat_d6_lr0015_l210_custom025,ens_full_summary,Cat_d6_lr0015_l210_custom025,1,94.73835558304563,1889.0,best_f1
0.171089083611102,0.2691094231267811,0.699691302734937,0.7240022484541877,0.17817125466869554,0.28596802841918295,0.5732200915665848,7351,5941,491,1288,validation,plateau_ensemble_member,,ens_full_summary__Cat_d6_lr0015_l210_custom025,ens_full_summary,Cat_d6_lr0015_l210_custom025,1,94.73835558304563,1889.0,best_f2
0.06707072037409587,0.2691094231267811,0.699691302734937,0.9943788645306352,0.12000542704022793,0.21416464891041162,0.13861057660407405,320,12972,10,1769,validation,plateau_ensemble_member,,ens_full_summary__Cat_d6_lr0015_l210_custom025,ens_full_summary,Cat_d6_lr0015_l210_custom025,1,94.73835558304563,1889.0,max_recall_precision_ge_0.12
0.13045326082978698,0.2691094231267811,0.699691302734937,0.8718381112984823,0.15,0.2559617130126248,0.4016986265012275,4503,8789,228,1551,validation,plateau_ensemble_member,,ens_full_summary__Cat_d6_lr0015_l210_custom025,ens_full_summary,Cat_d6_lr0015_l210_custom025,1,94.73835558304563,1889.0,max_recall_precision_ge_0.15
0.1986614122140216,0.2691094231267811,0.699691302734937,0.6115795390668916,0.2,0.3014267904141848,0.6653838497777188,8940,4352,691,1088,validation,plateau_ensemble_member,,ens_full_summary__Cat_d6_lr0015_l210_custom025,ens_full_summary,Cat_d6_lr0015_l210_custom025,1,94.73835558304563,1889.0,max_recall_precision_ge_0.20
0.5,0.2289713100596354,0.6796681402031612,0.06116207951070336,0.411522633744856,0.10649627263045794,0.8868357162125708,13050,143,1535,100,test,plateau_ensemble_member,,ens_full_summary__Cat_d6_lr0015_l210_custom025,ens_full_summary,Cat_d6_lr0015_l210_custom025,1,94.73835558304563,1889.0,default_0.5
0.24273289605163076,0.2289713100596354,0.6796681402031612,0.43363914373088686,0.2147183525136281,0.28721895888191207,0.7626787159428109,10600,2593,926,709,test,plateau_ensemble_member,,ens_full_summary__Cat_d6_lr0015_l210_custom025,ens_full_summary,Cat_d6_lr0015_l210_custom025,1,94.73835558304563,1889.0,best_f1
0.14502855252427047,0.2289713100596354,0.6796681402031612,0.8018348623853211,0.14945280437756497,0.25194580570769676,0.47497976800647423,5732,7461,324,1311,test,plateau_ensemble_member,,ens_full_summary__Cat_d6_lr0015_l210_custom025,ens_full_summary,Cat_d6_lr0015_l210_custom025,1,94.73835558304563,1889.0,best_f2
0.09305900975812692,0.2289713100596354,0.6796681402031612,0.963302752293578,0.12,0.21341463414634146,0.21702185055300782,1643,11550,60,1575,test,plateau_ensemble_member,,ens_full_summary__Cat_d6_lr0015_l210_custom025,ens_full_summary,Cat_d6_lr0015_l210_custom025,1,94.73835558304563,1889.0,max_recall_precision_ge_0.12
0.14642313526760525,0.2289713100596354,0.6796681402031612,0.7944954128440367,0.15,0.25235551238465276,0.4809144861073644,5832,7361,336,1299,test,plateau_ensemble_member,,ens_full_summary__Cat_d6_lr0015_l210_custom025,ens_full_summary,Cat_d6_lr0015_l210_custom025,1,94.73835558304563,1889.0,max_recall_precision_ge_0.15
0.22798924908043158,0.2289713100596354,0.6796681402031612,0.4740061162079511,0.2,0.2813067150635209,0.7329376854599406,10093,3100,860,775,test,plateau_ensemble_member,,ens_full_summary__Cat_d6_lr0015_l210_custom025,ens_full_summary,Cat_d6_lr0015_l210_custom025,1,94.73835558304563,1889.0,max_recall_precision_ge_0.20
