report_label,model_name,threshold_strategy,pr_auc,roc_auc,recall,precision,f1,accuracy,negative_ratio,seed,best_iteration
Best observed exploratory variant,NegRefineCat_d6_lr002_neg8_seed202,best_f1,0.2415173498930586,0.6816812084807276,0.4446483180428134,0.2159833630421865,0.2907418516296741,0.7607903965470731,8.0,202,1466.0
Best observed exploratory variant,NegRefineCat_d6_lr002_neg8_seed202,best_f2,0.2415173498930586,0.6816812084807276,0.7761467889908257,0.1517216642754663,0.2538253825382538,0.4968303210142972,8.0,202,1466.0
Best observed exploratory variant,NegRefineCat_d6_lr002_neg8_seed202,default_0.5,0.2415173498930586,0.6816812084807276,0.0311926605504587,0.6071428571428571,0.0593368237347294,0.8909495548961425,8.0,202,1466.0
Best observed exploratory variant,NegRefineCat_d6_lr002_neg8_seed202,max_recall_precision_ge_0.12,0.2415173498930586,0.6816812084807276,0.9547400611620795,0.1200030750307503,0.2132076760226729,0.2230240086323172,8.0,202,1466.0
Best observed exploratory variant,NegRefineCat_d6_lr002_neg8_seed202,max_recall_precision_ge_0.15,0.2415173498930586,0.6816812084807276,0.7798165137614679,0.15,0.2516033547113961,0.4884677636903156,8.0,202,1466.0
Best observed exploratory variant,NegRefineCat_d6_lr002_neg8_seed202,max_recall_precision_ge_0.20,0.2415173498930586,0.6816812084807276,0.4929663608562691,0.2,0.2845542806707855,0.7266657674669544,8.0,202,1466.0
Validation-selected final model,NegRefineCat_d6_lr002_neg7.5_seed37,best_f1,0.2414058407010183,0.6827043624978588,0.4226299694189602,0.2222579607590865,0.2913153456998313,0.7732667925546264,7.5,37,1498.0
Validation-selected final model,NegRefineCat_d6_lr002_neg7.5_seed37,best_f2,0.2414058407010183,0.6827043624978588,0.7486238532110092,0.1563617782319877,0.2586917468033393,0.5269085513892635,7.5,37,1498.0
Validation-selected final model,NegRefineCat_d6_lr002_neg7.5_seed37,default_0.5,0.2414058407010183,0.6827043624978588,0.0336391437308868,0.5670103092783505,0.0635103926096997,0.8906123550040465,7.5,37,1498.0
Validation-selected final model,NegRefineCat_d6_lr002_neg7.5_seed37,max_recall_precision_ge_0.12,0.2414058407010183,0.6827043624978588,0.9559633027522936,0.12,0.2132332878581173,0.2221472889128675,7.5,37,1498.0
Validation-selected final model,NegRefineCat_d6_lr002_neg7.5_seed37,max_recall_precision_ge_0.15,0.2414058407010183,0.6827043624978588,0.7749235474006116,0.1500118399242244,0.25136395198889,0.4910304828702455,7.5,37,1498.0
Validation-selected final model,NegRefineCat_d6_lr002_neg7.5_seed37,max_recall_precision_ge_0.20,0.2414058407010183,0.6827043624978588,0.5131498470948013,0.2,0.2878216123499142,0.7199892096034529,7.5,37,1498.0
